date,MACD_Signal,MACD,MACD_Hist
2020-05-01 16:00:00,-0.5171,-0.4764,0.0407
2020-05-01 15:59:00,-0.5273,-0.53,-0.0027
2020-05-01 15:58:00,-0.5266,-0.5601,-0.0335
2020-05-01 15:57:00,-0.5182,-0.565,-0.0468
2020-05-01 15:56:00,-0.5065,-0.5762,-0.0697
2020-05-01 15:55:00,-0.4891,-0.5459,-0.0568
2020-05-01 15:54:00,-0.4749,-0.4941,-0.0192
2020-05-01 15:53:00,-0.4701,-0.4744,-0.0043
2020-05-01 15:52:00,-0.469,-0.4719,-0.0029
2020-05-01 15:51:00,-0.4683,-0.4562,0.0121
2020-05-01 15:50:00,-0.4713,-0.4576,0.0138
2020-05-01 15:49:00,-0.4748,-0.5086,-0.0339
2020-05-01 15:48:00,-0.4663,-0.5074,-0.0411
2020-05-01 15:47:00,-0.456,-0.4831,-0.0271
2020-05-01 15:46:00,-0.4492,-0.4899,-0.0406
2020-05-01 15:45:00,-0.4391,-0.4965,-0.0574
2020-05-01 15:44:00,-0.4247,-0.4876,-0.0629
2020-05-01 15:43:00,-0.409,-0.4691,-0.0601
2020-05-01 15:42:00,-0.394,-0.4509,-0.0569
2020-05-01 15:41:00,-0.3798,-0.4608,-0.081
2020-05-01 15:40:00,-0.3595,-0.479,-0.1195
2020-05-01 15:39:00,-0.3296,-0.4768,-0.1472
2020-05-01 15:38:00,-0.2928,-0.4197,-0.1268
2020-05-01 15:37:00,-0.2611,-0.3749,-0.1138
2020-05-01 15:36:00,-0.2327,-0.3418,-0.1091
2020-05-01 15:35:00,-0.2054,-0.3201,-0.1147
2020-05-01 15:34:00,-0.1767,-0.2867,-0.1099
2020-05-01 15:33:00,-0.1493,-0.2846,-0.1354
2020-05-01 15:32:00,-0.1154,-0.2545,-0.1391
2020-05-01 15:31:00,-0.0806,-0.2281,-0.1475
2020-05-01 15:30:00,-0.0437,-0.2141,-0.1703
2020-05-01 15:29:00,-0.0012,-0.1947,-0.1936
2020-05-01 15:28:00,0.0472,-0.1492,-0.1964
2020-05-01 15:27:00,0.0963,-0.0716,-0.1679
2020-05-01 15:26:00,0.1383,-0.0061,-0.1444
2020-05-01 15:25:00,0.1744,0.074,-0.1004
2020-05-01 15:24:00,0.1995,0.1492,-0.0503
2020-05-01 15:23:00,0.2121,0.2134,0.0014
2020-05-01 15:22:00,0.2117,0.2216,0.0099
2020-05-01 15:21:00,0.2093,0.2324,0.0231
2020-05-01 15:20:00,0.2035,0.2407,0.0373
2020-05-01 15:19:00,0.1942,0.253,0.0588
2020-05-01 15:18:00,0.1795,0.2374,0.0579
2020-05-01 15:17:00,0.165,0.211,0.0461
2020-05-01 15:16:00,0.1535,0.1863,0.0329
2020-05-01 15:15:00,0.1453,0.1711,0.0259
2020-05-01 15:14:00,0.1388,0.166,0.0272
2020-05-01 15:13:00,0.132,0.1314,-0.0006
2020-05-01 15:12:00,0.1321,0.1028,-0.0293
2020-05-01 15:11:00,0.1395,0.1001,-0.0394
2020-05-01 15:10:00,0.1493,0.1067,-0.0426
2020-05-01 15:09:00,0.16,0.1249,-0.035
2020-05-01 15:08:00,0.1687,0.1534,-0.0153
2020-05-01 15:07:00,0.1725,0.1827,0.0101
2020-05-01 15:06:00,0.17,0.2182,0.0481
2020-05-01 15:05:00,0.158,0.246,0.0881
2020-05-01 15:04:00,0.136,0.2485,0.1125
2020-05-01 15:03:00,0.1078,0.216,0.1082
2020-05-01 15:02:00,0.0808,0.1587,0.0779
2020-05-01 15:01:00,0.0613,0.1025,0.0412
2020-05-01 15:00:00,0.051,0.0538,0.0028
2020-05-01 14:59:00,0.0503,0.0422,-0.0081
2020-05-01 14:58:00,0.0523,0.0326,-0.0197
2020-05-01 14:57:00,0.0572,0.0349,-0.0223
2020-05-01 14:56:00,0.0628,0.0191,-0.0437
2020-05-01 14:55:00,0.0738,0.0169,-0.0568
2020-05-01 14:54:00,0.088,0.019,-0.069
2020-05-01 14:53:00,0.1052,0.043,-0.0622
2020-05-01 14:52:00,0.1208,0.0483,-0.0725
2020-05-01 14:51:00,0.1389,0.0848,-0.0541
2020-05-01 14:50:00,0.1524,0.1221,-0.0303
2020-05-01 14:49:00,0.16,0.1201,-0.0399
2020-05-01 14:48:00,0.17,0.1163,-0.0537
2020-05-01 14:47:00,0.1834,0.1093,-0.0741
