date,MACD_Signal,MACD,MACD_Hist
2020-05-01 16:00:00,-2.9661,-2.8374,0.1287
2020-05-01 15:59:00,-2.9982,-3.0576,-0.0594
2020-05-01 15:58:00,-2.9834,-3.1559,-0.1725
2020-05-01 15:57:00,-2.9403,-3.0785,-0.1382
2020-05-01 15:56:00,-2.9057,-3.1193,-0.2136
2020-05-01 15:55:00,-2.8523,-3.1234,-0.2711
2020-05-01 15:54:00,-2.7845,-2.982,-0.1974
2020-05-01 15:53:00,-2.7352,-2.7357,-0.0005
2020-05-01 15:52:00,-2.7351,-2.7775,-0.0425
2020-05-01 15:51:00,-2.7244,-2.8588,-0.1344
2020-05-01 15:50:00,-2.6909,-2.8227,-0.1318
2020-05-01 15:49:00,-2.6579,-2.902,-0.2441
2020-05-01 15:48:00,-2.5969,-3.0088,-0.4119
2020-05-01 15:47:00,-2.4939,-2.5832,-0.0893
2020-05-01 15:46:00,-2.4716,-2.3221,0.1495
2020-05-01 15:45:00,-2.5089,-2.2024,0.3065
2020-05-01 15:44:00,-2.5855,-2.3171,0.2685
2020-05-01 15:43:00,-2.6527,-2.4908,0.1619
2020-05-01 15:42:00,-2.6931,-2.5342,0.159
2020-05-01 15:41:00,-2.7329,-2.3954,0.3375
2020-05-01 15:40:00,-2.8172,-2.6089,0.2083
2020-05-01 15:39:00,-2.8693,-2.7225,0.1469
2020-05-01 15:38:00,-2.9061,-2.7668,0.1393
2020-05-01 15:37:00,-2.9409,-2.9144,0.0265
2020-05-01 15:36:00,-2.9475,-3.1754,-0.2279
2020-05-01 15:35:00,-2.8905,-3.2628,-0.3723
2020-05-01 15:34:00,-2.7975,-3.3209,-0.5234
2020-05-01 15:33:00,-2.6666,-3.3456,-0.679
2020-05-01 15:32:00,-2.4969,-3.2695,-0.7726
2020-05-01 15:31:00,-2.3037,-3.2408,-0.9371
2020-05-01 15:30:00,-2.0695,-3.2864,-1.2169
2020-05-01 15:29:00,-1.7652,-3.3793,-1.6141
2020-05-01 15:28:00,-1.3617,-3.1055,-1.7438
2020-05-01 15:27:00,-0.9258,-2.5175,-1.5917
2020-05-01 15:26:00,-0.5278,-1.7952,-1.2674
2020-05-01 15:25:00,-0.211,-1.1703,-0.9593
2020-05-01 15:24:00,0.0289,-0.8393,-0.8681
2020-05-01 15:23:00,0.2459,-0.598,-0.8439
2020-05-01 15:22:00,0.4569,-0.2829,-0.7398
2020-05-01 15:21:00,0.6418,-0.0044,-0.6462
2020-05-01 15:20:00,0.8034,0.3284,-0.475
2020-05-01 15:19:00,0.9221,0.7803,-0.1418
2020-05-01 15:18:00,0.9576,1.0587,0.1011
2020-05-01 15:17:00,0.9323,1.1705,0.2382
2020-05-01 15:16:00,0.8728,1.1537,0.2809
2020-05-01 15:15:00,0.8026,1.054,0.2515
2020-05-01 15:14:00,0.7397,0.9872,0.2475
2020-05-01 15:13:00,0.6778,0.8345,0.1566
2020-05-01 15:12:00,0.6387,0.7313,0.0926
2020-05-01 15:11:00,0.6155,0.6816,0.0661
2020-05-01 15:10:00,0.599,0.6877,0.0887
2020-05-01 15:09:00,0.5768,0.8922,0.3154
2020-05-01 15:08:00,0.498,1.0141,0.5161
2020-05-01 15:07:00,0.3689,0.9253,0.5563
2020-05-01 15:06:00,0.2298,0.8814,0.6515
2020-05-01 15:05:00,0.067,0.8603,0.7934
2020-05-01 15:04:00,-0.1314,0.7529,0.8842
2020-05-01 15:03:00,-0.3524,0.4,0.7524
2020-05-01 15:02:00,-0.5406,-0.0089,0.5317
2020-05-01 15:01:00,-0.6735,-0.3652,0.3082
2020-05-01 15:00:00,-0.7505,-0.6335,0.1171
2020-05-01 14:59:00,-0.7798,-0.6581,0.1217
2020-05-01 14:58:00,-0.8102,-0.8031,0.0071
2020-05-01 14:57:00,-0.812,-0.7999,0.0121
2020-05-01 14:56:00,-0.815,-0.8773,-0.0622
2020-05-01 14:55:00,-0.7995,-0.9776,-0.1781
2020-05-01 14:54:00,-0.7549,-0.9306,-0.1756
2020-05-01 14:53:00,-0.711,-1.0838,-0.3727
2020-05-01 14:52:00,-0.6179,-1.1783,-0.5605
2020-05-01 14:51:00,-0.4777,-1.1709,-0.6931
2020-05-01 14:50:00,-0.3045,-1.0669,-0.7624
2020-05-01 14:49:00,-0.1138,-1.1671,-1.0533
2020-05-01 14:48:00,0.1495,-1.0322,-1.1817
2020-05-01 14:47:00,0.4449,-0.8669,-1.3118
2020-05-01 14:46:00,0.7728,-0.4365,-1.2093
2020-05-01 14:45:00,1.0752,0.2902,-0.785
2020-05-01 14:44:00,1.2714,0.6817,-0.5897
2020-05-01 14:43:00,1.4189,0.9895,-0.4293
2020-05-01 14:42:00,1.5262,1.2458,-0.2804
2020-05-01 14:41:00,1.5963,1.4483,-0.1479
2020-05-01 14:40:00,1.6333,1.3667,-0.2666
2020-05-01 14:39:00,1.6999,1.2018,-0.4981
2020-05-01 14:38:00,1.8244,1.0267,-0.7977
2020-05-01 14:37:00,2.0239,1.1509,-0.873
