date,ROC
2020-04-27 10:31:00,-0.54
2020-04-27 10:32:00,-0.5693
2020-04-27 10:33:00,-0.7514
2020-04-27 10:34:00,-0.809
2020-04-27 10:35:00,-0.7919
2020-04-27 10:36:00,-0.6941
2020-04-27 10:37:00,-0.5461
2020-04-27 10:38:00,-0.5703
2020-04-27 10:39:00,-0.5897
2020-04-27 10:40:00,-0.4439
2020-04-27 10:41:00,-0.2421
2020-04-27 10:42:00,-0.2828
2020-04-27 10:43:00,-0.5895
2020-04-27 10:44:00,-0.5704
2020-04-27 10:45:00,-0.398
2020-04-27 10:46:00,-0.6591
2020-04-27 10:47:00,-0.7284
2020-04-27 10:48:00,-0.6068
2020-04-27 10:49:00,-0.9206
2020-04-27 10:50:00,-0.8861
2020-04-27 10:51:00,-0.7123
2020-04-27 10:52:00,-0.729
2020-04-27 10:53:00,-0.7392
2020-04-27 10:54:00,-0.6159
2020-04-27 10:55:00,-0.6897
2020-04-27 10:56:00,-0.6098
2020-04-27 10:57:00,-0.6792
2020-04-27 10:58:00,-0.8974
2020-04-27 10:59:00,-0.8365
2020-04-27 11:00:00,-1.057
2020-04-27 11:01:00,-1.1471
2020-04-27 11:02:00,-0.9864
2020-04-27 11:03:00,-0.863
2020-04-27 11:04:00,-0.8422
2020-04-27 11:05:00,-0.8583
2020-04-27 11:06:00,-0.7729
2020-04-27 11:07:00,-0.7784
2020-04-27 11:08:00,-0.6113
2020-04-27 11:09:00,-0.6995
2020-04-27 11:10:00,-0.7491
2020-04-27 11:11:00,-0.6691
2020-04-27 11:12:00,-0.7746
2020-04-27 11:13:00,-0.7086
2020-04-27 11:14:00,-0.6143
2020-04-27 11:15:00,-0.6688
2020-04-27 11:16:00,-0.4436
2020-04-27 11:17:00,-0.5366
2020-04-27 11:18:00,-0.4666
2020-04-27 11:19:00,-0.4103
2020-04-27 11:20:00,-0.1106
2020-04-27 11:21:00,-0.1279
2020-04-27 11:22:00,-0.1063
2020-04-27 11:23:00,-0.1217
2020-04-27 11:24:00,-0.1662
2020-04-27 11:25:00,-0.0943
2020-04-27 11:26:00,-0.137
2020-04-27 11:27:00,-0.1107
2020-04-27 11:28:00,0.0039
2020-04-27 11:29:00,0.0226
2020-04-27 11:30:00,-0.0818
2020-04-27 11:31:00,-0.0826
2020-04-27 11:32:00,-0.1186
2020-04-27 11:33:00,-0.1162
2020-04-27 11:34:00,-0.1042
2020-04-27 11:35:00,0.1902
2020-04-27 11:36:00,0.0309
2020-04-27 11:37:00,-0.0062
2020-04-27 11:38:00,-0.1084
2020-04-27 11:39:00,-0.1514
2020-04-27 11:40:00,-0.1717
2020-04-27 11:41:00,-0.1958
2020-04-27 11:42:00,-0.1448
2020-04-27 11:43:00,-0.1613
2020-04-27 11:44:00,-0.1911
2020-04-27 11:45:00,-0.1106
2020-04-27 11:46:00,-0.0222
2020-04-27 11:47:00,-0.1619
2020-04-27 11:48:00,-0.2874
2020-04-27 11:49:00,-0.1796
2020-04-27 11:50:00,-0.2989
2020-04-27 11:51:00,-0.3234
2020-04-27 11:52:00,-0.5983
2020-04-27 11:53:00,-0.7038
2020-04-27 11:54:00,-0.635
2020-04-27 11:55:00,-0.6052
2020-04-27 11:56:00,-0.4688
2020-04-27 11:57:00,-0.4552
2020-04-27 11:58:00,-0.2782
2020-04-27 11:59:00,-0.3778
2020-04-27 12:00:00,-0.2773
2020-04-27 12:01:00,-0.485
2020-04-27 12:02:00,-0.5001
2020-04-27 12:03:00,-0.6234
2020-04-27 12:04:00,-0.7678
2020-04-27 12:05:00,-0.8406
2020-04-27 12:06:00,-0.6818
2020-04-27 12:07:00,-0.6778
2020-04-27 12:08:00,-0.6643
2020-04-27 12:09:00,-0.6034
2020-04-27 12:10:00,-0.6054
2020-04-27 12:11:00,-0.6324
2020-04-27 12:12:00,-0.6309
2020-04-27 12:13:00,-0.671
2020-04-27 12:14:00,-0.7303
2020-04-27 12:15:00,-0.6337
2020-04-27 12:16:00,-0.6387
2020-04-27 12:17:00,-0.6433
2020-04-27 12:18:00,-0.5817
2020-04-27 12:19:00,-0.686
2020-04-27 12:20:00,-0.7173
2020-04-27 12:21:00,-0.7706
2020-04-27 12:22:00,-0.7335
2020-04-27 12:23:00,-0.795
2020-04-27 12:24:00,-0.7932
2020-04-27 12:25:00,-0.7546
2020-04-27 12:26:00,-0.6934
2020-04-27 12:27:00,-0.6102
2020-04-27 12:28:00,-0.729
2020-04-27 12:29:00,-0.7354
2020-04-27 12:30:00,-0.6164
2020-04-27 12:31:00,-0.5424
2020-04-27 12:32:00,-0.4381
2020-04-27 12:33:00,-0.2672
2020-04-27 12:34:00,-0.3212
2020-04-27 12:35:00,-0.3657
2020-04-27 12:36:00,-0.2381
2020-04-27 12:37:00,-0.241
2020-04-27 12:38:00,-0.1775
2020-04-27 12:39:00,-0.2088
2020-04-27 12:40:00,-0.2202
2020-04-27 12:41:00,-0.2753
2020-04-27 12:42:00,-0.3061
2020-04-27 12:43:00,-0.3313
2020-04-27 12:44:00,-0.2777
2020-04-27 12:45:00,-0.2982
2020-04-27 12:46:00,-0.2627
2020-04-27 12:47:00,-0.1618
2020-04-27 12:48:00,-0.2438
2020-04-27 12:49:00,-0.1881
2020-04-27 12:50:00,-0.107
2020-04-27 12:51:00,-0.1081
2020-04-27 12:52:00,0.1516
2020-04-27 12:53:00,0.1575
2020-04-27 12:54:00,0.122
2020-04-27 12:55:00,0.0078
2020-04-27 12:56:00,0.0341
2020-04-27 12:57:00,0.1069
2020-04-27 12:58:00,0.066
2020-04-27 12:59:00,0.022
2020-04-27 13:00:00,-0.051
2020-04-27 13:01:00,0.0701
2020-04-27 13:02:00,0.0617
2020-04-27 13:03:00,0.0181
2020-04-27 13:04:00,-0.0054
2020-04-27 13:05:00,0.1563
2020-04-27 13:06:00,0.041
2020-04-27 13:07:00,-0.0121
2020-04-27 13:08:00,0.0493
2020-04-27 13:09:00,-0.0054
2020-04-27 13:10:00,-0.0506
2020-04-27 13:11:00,-0.1306
2020-04-27 13:12:00,-0.1634
2020-04-27 13:13:00,-0.1368
2020-04-27 13:14:00,-0.0668
2020-04-27 13:15:00,-0.2305
2020-04-27 13:16:00,-0.2817
2020-04-27 13:17:00,-0.3403
2020-04-27 13:18:00,-0.3371
2020-04-27 13:19:00,-0.4008
2020-04-27 13:20:00,-0.4769
2020-04-27 13:21:00,-0.4695
2020-04-27 13:22:00,-0.4161
2020-04-27 13:23:00,-0.3714
2020-04-27 13:24:00,-0.4213
2020-04-27 13:25:00,-0.6428
2020-04-27 13:26:00,-0.5903
2020-04-27 13:27:00,-0.5864
2020-04-27 13:28:00,-0.5213
2020-04-27 13:29:00,-0.5395
2020-04-27 13:30:00,-0.5495
2020-04-27 13:31:00,-0.6714
2020-04-27 13:32:00,-0.8066
2020-04-27 13:33:00,-0.9776
2020-04-27 13:34:00,-0.9119
2020-04-27 13:35:00,-0.888
2020-04-27 13:36:00,-1.1309
2020-04-27 13:37:00,-1.0
2020-04-27 13:38:00,-1.0475
2020-04-27 13:39:00,-0.9471
2020-04-27 13:40:00,-1.0069
2020-04-27 13:41:00,-0.9684
2020-04-27 13:42:00,-1.1489
2020-04-27 13:43:00,-1.3159
2020-04-27 13:44:00,-1.4231
2020-04-27 13:45:00,-1.3243
2020-04-27 13:46:00,-1.3376
2020-04-27 13:47:00,-1.2622
2020-04-27 13:48:00,-1.1762
2020-04-27 13:49:00,-1.2152
2020-04-27 13:50:00,-1.2744
2020-04-27 13:51:00,-1.2542
2020-04-27 13:52:00,-1.3023
2020-04-27 13:53:00,-1.2722
2020-04-27 13:54:00,-1.2762
2020-04-27 13:55:00,-1.2192
2020-04-27 13:56:00,-1.2651
2020-04-27 13:57:00,-1.3379
2020-04-27 13:58:00,-1.3981
2020-04-27 13:59:00,-1.4819
2020-04-27 14:00:00,-1.5764
2020-04-27 14:01:00,-1.4728
2020-04-27 14:02:00,-1.3951
2020-04-27 14:03:00,-1.3753
2020-04-27 14:04:00,-1.2771
2020-04-27 14:05:00,-1.4374
2020-04-27 14:06:00,-1.3956
2020-04-27 14:07:00,-1.3859
2020-04-27 14:08:00,-1.3421
2020-04-27 14:09:00,-1.1184
2020-04-27 14:10:00,-0.9268
2020-04-27 14:11:00,-0.6884
2020-04-27 14:12:00,-0.6969
2020-04-27 14:13:00,-0.7755
2020-04-27 14:14:00,-0.7138
2020-04-27 14:15:00,-0.6087
2020-04-27 14:16:00,-0.641
2020-04-27 14:17:00,-0.5233
2020-04-27 14:18:00,-0.6485
2020-04-27 14:19:00,-0.5616
2020-04-27 14:20:00,-0.5711
2020-04-27 14:21:00,-0.596
2020-04-27 14:22:00,-0.7149
2020-04-27 14:23:00,-0.6916
2020-04-27 14:24:00,-0.6519
2020-04-27 14:25:00,-0.4167
2020-04-27 14:26:00,-0.4702
2020-04-27 14:27:00,-0.5087
2020-04-27 14:28:00,-0.4854
2020-04-27 14:29:00,-0.4958
2020-04-27 14:30:00,-0.831
2020-04-27 14:31:00,-0.9482
2020-04-27 14:32:00,-0.628
2020-04-27 14:33:00,-0.587
2020-04-27 14:34:00,-0.7317
2020-04-27 14:35:00,-0.7695
2020-04-27 14:36:00,-0.5529
2020-04-27 14:37:00,-0.5524
2020-04-27 14:38:00,-0.5357
2020-04-27 14:39:00,-0.4579
2020-04-27 14:40:00,-0.3412
2020-04-27 14:41:00,-0.179
2020-04-27 14:42:00,0.0519
2020-04-27 14:43:00,0.241
2020-04-27 14:44:00,0.4231
2020-04-27 14:45:00,0.3774
2020-04-27 14:46:00,0.3903
2020-04-27 14:47:00,0.3724
2020-04-27 14:48:00,0.2772
2020-04-27 14:49:00,0.2834
2020-04-27 14:50:00,0.4595
2020-04-27 14:51:00,0.4193
2020-04-27 14:52:00,0.3843
2020-04-27 14:53:00,0.3249
2020-04-27 14:54:00,0.3172
2020-04-27 14:55:00,0.1518
2020-04-27 14:56:00,0.0969
2020-04-27 14:57:00,0.2367
2020-04-27 14:58:00,0.3458
2020-04-27 14:59:00,0.4503
2020-04-27 15:00:00,0.5807
2020-04-27 15:01:00,0.4405
2020-04-27 15:02:00,0.4482
2020-04-27 15:03:00,0.4725
2020-04-27 15:04:00,0.5195
2020-04-27 15:05:00,0.6034
2020-04-27 15:06:00,0.5001
2020-04-27 15:07:00,0.4395
2020-04-27 15:08:00,0.3626
2020-04-27 15:09:00,0.1352
2020-04-27 15:10:00,-0.0396
2020-04-27 15:11:00,-0.1962
2020-04-27 15:12:00,-0.0616
2020-04-27 15:13:00,0.0242
2020-04-27 15:14:00,-0.0688
2020-04-27 15:15:00,-0.0643
2020-04-27 15:16:00,-0.104
2020-04-27 15:17:00,-0.2517
2020-04-27 15:18:00,-0.1555
2020-04-27 15:19:00,-0.1541
2020-04-27 15:20:00,-0.077
2020-04-27 15:21:00,-0.0087
2020-04-27 15:22:00,0.0059
2020-04-27 15:23:00,0.1401
2020-04-27 15:24:00,0.1834
2020-04-27 15:25:00,0.1748
2020-04-27 15:26:00,0.1447
2020-04-27 15:27:00,0.1363
2020-04-27 15:28:00,0.0845
2020-04-27 15:29:00,0.0785
2020-04-27 15:30:00,0.3602
2020-04-27 15:31:00,0.5642
2020-04-27 15:32:00,0.2982
2020-04-27 15:33:00,0.2788
2020-04-27 15:34:00,0.4363
2020-04-27 15:35:00,0.4406
2020-04-27 15:36:00,0.5403
2020-04-27 15:37:00,0.4063
2020-04-27 15:38:00,0.4043
2020-04-27 15:39:00,0.3955
2020-04-27 15:40:00,0.328
2020-04-27 15:41:00,0.2176
2020-04-27 15:42:00,0.2663
2020-04-27 15:43:00,0.3373
2020-04-27 15:44:00,0.2487
2020-04-27 15:45:00,0.3042
2020-04-27 15:46:00,0.1985
2020-04-27 15:47:00,-0.0192
2020-04-27 15:48:00,0.0262
2020-04-27 15:49:00,0.0596
2020-04-27 15:50:00,-0.0075
2020-04-27 15:51:00,0.0869
2020-04-27 15:52:00,0.1868
2020-04-27 15:53:00,0.1237
2020-04-27 15:54:00,0.2342
2020-04-27 15:55:00,0.2217
2020-04-27 15:56:00,0.0406
2020-04-27 15:57:00,-0.0556
2020-04-27 15:58:00,-0.183
2020-04-27 15:59:00,-0.1309
2020-04-27 16:00:00,-0.1185
2020-04-28 09:31:00,-0.6291
