date,MACD,MACD_Hist,MACD_Signal
2000-06-16,-0.5148,-0.0799,-0.4349
2000-06-19,-0.6465,-0.1693,-0.4772
2000-06-20,-0.767,-0.2318,-0.5352
2000-06-21,-0.8623,-0.2617,-0.6006
2000-06-22,-0.9973,-0.3173,-0.6799
2000-06-23,-1.039,-0.2873,-0.7517
2000-06-26,-1.0224,-0.2165,-0.8059
2000-06-27,-1.0879,-0.2256,-0.8623
2000-06-28,-1.0366,-0.1395,-0.8971
2000-06-29,-0.9551,-0.0464,-0.9087
2000-06-30,-0.9203,-0.0093,-0.9111
2000-07-03,-0.7581,0.1224,-0.8805
2000-07-05,-0.8066,0.0591,-0.8657
2000-07-06,-0.711,0.1237,-0.8348
2000-07-07,-0.7022,0.1061,-0.8082
2000-07-10,-0.6378,0.1363,-0.7742
2000-07-11,-0.5402,0.1871,-0.7274
2000-07-12,-0.7416,-0.0114,-0.7302
2000-07-13,-0.9061,-0.1407,-0.7654
2000-07-14,-0.9744,-0.1672,-0.8072
2000-07-17,-1.0167,-0.1677,-0.8491
2000-07-18,-1.1485,-0.2395,-0.909
2000-07-19,-1.1588,-0.1999,-0.9589
2000-07-20,-1.0739,-0.092,-0.9819
2000-07-21,-1.0702,-0.0706,-0.9996
2000-07-24,-1.3789,-0.3035,-1.0754
2000-07-25,-1.5851,-0.4077,-1.1774
2000-07-26,-1.5093,-0.2655,-1.2438
2000-07-27,-1.5523,-0.2468,-1.3055
2000-07-28,-1.5332,-0.1822,-1.351
2000-07-31,-1.2567,0.0755,-1.3321
2000-08-01,-1.0257,0.2451,-1.2709
2000-08-02,-1.0524,0.1747,-1.2272
2000-08-03,-1.1411,0.0688,-1.21
2000-08-04,-1.2774,-0.054,-1.2235
2000-08-07,-1.3297,-0.085,-1.2447
2000-08-08,-1.2854,-0.0325,-1.2529
2000-08-09,-1.3014,-0.0388,-1.2626
2000-08-10,-1.2903,-0.0222,-1.2681
2000-08-11,-1.2502,0.0143,-1.2645
2000-08-14,-1.2045,0.048,-1.2525
2000-08-15,-1.1654,0.0697,-1.2351
2000-08-16,-1.0217,0.1707,-1.1924
2000-08-17,-0.8776,0.2519,-1.1295
2000-08-18,-0.7642,0.2922,-1.0564
2000-08-21,-0.7265,0.2639,-0.9904
2000-08-22,-0.6289,0.2892,-0.9181
2000-08-23,-0.6553,0.2103,-0.8655
2000-08-24,-0.6581,0.1659,-0.8241
