date,MACD,MACD_Hist,MACD_Signal
2020-05-01 16:00:00,-0.0254,-0.0101,-0.0153
2020-05-01 15:59:00,-0.0336,-0.0208,-0.0128
2020-05-01 15:58:00,-0.0486,-0.041,-0.0076
2020-05-01 15:57:00,-0.0395,-0.0422,0.0027
2020-05-01 15:56:00,-0.0381,-0.0513,0.0132
2020-05-01 15:55:00,-0.0235,-0.0495,0.0261
2020-05-01 15:54:00,0.0011,-0.0373,0.0384
2020-05-01 15:53:00,0.0243,-0.0234,0.0478
2020-05-01 15:52:00,0.0363,-0.0173,0.0536
2020-05-01 15:51:00,0.05,-0.008,0.058
2020-05-01 15:50:00,0.0642,0.0043,0.06
2020-05-01 15:49:00,0.0677,0.0088,0.0589
2020-05-01 15:48:00,0.0686,0.0119,0.0567
2020-05-01 15:47:00,0.0673,0.0136,0.0537
2020-05-01 15:46:00,0.0798,0.0295,0.0503
2020-05-01 15:45:00,0.0968,0.0538,0.0429
2020-05-01 15:44:00,0.0823,0.0529,0.0295
2020-05-01 15:43:00,0.0708,0.0546,0.0163
2020-05-01 15:42:00,0.0501,0.0475,0.0026
2020-05-01 15:41:00,0.0325,0.0418,-0.0093
2020-05-01 15:40:00,-0.0057,0.014,-0.0197
2020-05-01 15:39:00,-0.0268,-0.0036,-0.0232
2020-05-01 15:38:00,-0.0213,0.001,-0.0223
2020-05-01 15:37:00,-0.027,-0.0045,-0.0226
2020-05-01 15:36:00,-0.0372,-0.0158,-0.0215
2020-05-01 15:35:00,-0.0507,-0.0332,-0.0175
2020-05-01 15:34:00,-0.0335,-0.0243,-0.0092
2020-05-01 15:33:00,-0.0356,-0.0324,-0.0032
2020-05-01 15:32:00,-0.0346,-0.0396,0.0049
2020-05-01 15:31:00,-0.037,-0.0518,0.0148
2020-05-01 15:30:00,-0.0547,-0.0825,0.0278
2020-05-01 15:29:00,-0.0572,-0.1057,0.0484
2020-05-01 15:28:00,-0.0362,-0.111,0.0748
2020-05-01 15:27:00,-0.0125,-0.1151,0.1026
2020-05-01 15:26:00,0.0117,-0.1196,0.1314
2020-05-01 15:25:00,0.0544,-0.1068,0.1613
2020-05-01 15:24:00,0.0949,-0.0931,0.188
2020-05-01 15:23:00,0.1309,-0.0803,0.2113
2020-05-01 15:22:00,0.1546,-0.0767,0.2313
2020-05-01 15:21:00,0.1964,-0.0541,0.2505
2020-05-01 15:20:00,0.231,-0.033,0.2641
2020-05-01 15:19:00,0.2757,0.0034,0.2723
2020-05-01 15:18:00,0.2933,0.0219,0.2715
2020-05-01 15:17:00,0.2973,0.0313,0.266
2020-05-01 15:16:00,0.3047,0.0466,0.2582
2020-05-01 15:15:00,0.3163,0.0698,0.2465
2020-05-01 15:14:00,0.3156,0.0865,0.2291
2020-05-01 15:13:00,0.2935,0.0861,0.2074
2020-05-01 15:12:00,0.2601,0.0742,0.1859
2020-05-01 15:11:00,0.236,0.0686,0.1674
2020-05-01 15:10:00,0.2176,0.0674,0.1502
2020-05-01 15:09:00,0.1904,0.057,0.1334
2020-05-01 15:08:00,0.1795,0.0603,0.1191
2020-05-01 15:07:00,0.1639,0.0599,0.104
2020-05-01 15:06:00,0.1564,0.0673,0.0891
2020-05-01 15:05:00,0.1512,0.0789,0.0722
2020-05-01 15:04:00,0.1438,0.0913,0.0525
2020-05-01 15:03:00,0.1115,0.0818,0.0297
2020-05-01 15:02:00,0.0798,0.0705,0.0092
2020-05-01 15:01:00,0.0453,0.0537,-0.0084
2020-05-01 15:00:00,0.0101,0.032,-0.0218
2020-05-01 14:59:00,-0.0126,0.0172,-0.0298
2020-05-01 14:58:00,-0.0407,-0.0066,-0.0341
