date,MACD_Hist,MACD,MACD_Signal
2000-06-16,4.4281,-11.3561,-15.7841
2000-06-19,4.1637,-10.5795,-14.7432
2000-06-20,3.9621,-9.7906,-13.7527
2000-06-21,3.6538,-9.1855,-12.8392
2000-06-22,3.342,-8.6617,-12.0037
2000-06-23,3.153,-8.0625,-11.2155
2000-06-26,2.9753,-7.4964,-10.4717
2000-06-27,2.7594,-7.0224,-9.7818
2000-06-28,2.6516,-6.4674,-9.1189
2000-06-29,2.477,-6.0226,-8.4997
2000-06-30,2.5227,-5.3463,-7.869
2000-07-03,2.427,-4.8352,-7.2622
2000-07-05,2.1745,-4.544,-6.7186
2000-07-06,1.9795,-4.2442,-6.2237
2000-07-07,1.8817,-3.8716,-5.7533
2000-07-10,1.8464,-3.4453,-5.2917
2000-07-11,1.7635,-3.0873,-4.8508
2000-07-12,1.7591,-2.6519,-4.411
2000-07-13,1.6246,-2.3803,-4.0049
2000-07-14,1.4278,-2.2202,-3.648
2000-07-17,1.4026,-1.8947,-3.2973
2000-07-18,1.2514,-1.733,-2.9845
2000-07-19,1.1502,-1.5467,-2.6969
2000-07-20,1.1506,-1.2586,-2.4092
2000-07-21,1.101,-1.0329,-2.134
2000-07-24,1.0234,-0.8547,-1.8781
2000-07-25,0.9101,-0.7405,-1.6506
2000-07-26,0.7152,-0.7566,-1.4718
2000-07-27,0.5926,-0.7311,-1.3236
2000-07-28,0.3972,-0.8272,-1.2244
2000-07-31,0.3129,-0.8332,-1.1461
2000-08-01,0.3218,-0.7439,-1.0657
2000-08-02,0.2723,-0.7253,-0.9976
2000-08-03,0.2923,-0.6323,-0.9245
2000-08-04,0.3298,-0.5123,-0.8421
2000-08-07,0.2959,-0.4722,-0.7681
2000-08-08,0.3376,-0.3462,-0.6837
2000-08-09,0.492,-0.0687,-0.5607
2000-08-10,0.6358,0.234,-0.4018
2000-08-11,0.6681,0.4334,-0.2348
2000-08-14,0.6836,0.6198,-0.0639
2000-08-15,0.674,0.7787,0.1046
2000-08-16,0.6036,0.8592,0.2556
2000-08-17,0.5179,0.9029,0.385
2000-08-18,0.4016,0.887,0.4854
2000-08-21,0.3268,0.8939,0.5671
2000-08-22,0.2379,0.8644,0.6266
2000-08-23,0.2718,0.9663,0.6945
2000-08-24,0.3363,1.1149,0.7786
2000-08-25,0.3718,1.2433,0.8715
2000-08-28,0.4144,1.3896,0.9751
2000-08-29,0.4029,1.4788,1.0759
2000-08-30,0.2129,1.3419,1.1291
2000-08-31,0.1444,1.3096,1.1652
2000-09-01,0.075,1.259,1.1839
2000-09-05,-0.0272,1.1499,1.1771
2000-09-06,-0.0247,1.1463,1.171
2000-09-07,-0.0325,1.1304,1.1628
2000-09-08,0.0099,1.1752,1.1653
2000-09-11,0.0132,1.1818,1.1686
2000-09-12,-0.0363,1.1233,1.1595
2000-09-13,-0.076,1.0646,1.1406
2000-09-14,-0.1111,1.0017,1.1128
2000-09-15,-0.281,0.7615,1.0425
2000-09-18,-0.3344,0.6245,0.9589
2000-09-19,-0.391,0.4701,0.8612
2000-09-20,-0.4375,0.3143,0.7518
2000-09-21,-0.4747,0.1584,0.6331
2000-09-22,-0.4114,0.1189,0.5303
2000-09-25,-0.307,0.1465,0.4535
2000-09-26,-0.2335,0.1616,0.3951
2000-09-27,-0.0869,0.2865,0.3734
2000-09-28,-0.0219,0.346,0.3679
2000-09-29,-0.0593,0.2938,0.3531
2000-10-02,-0.0389,0.3045,0.3434
2000-10-03,0.0086,0.3541,0.3455
2000-10-04,0.0233,0.3746,0.3513
2000-10-05,0.0836,0.4558,0.3722
2000-10-06,0.0938,0.4895,0.3957
2000-10-09,0.0317,0.4353,0.4036
2000-10-10,-0.0407,0.3528,0.3934
2000-10-11,-0.1787,0.1701,0.3488
2000-10-12,-0.395,-0.145,0.25
2000-10-13,-0.3526,-0.1907,0.1619
2000-10-16,-0.2611,-0.1645,0.0966
2000-10-17,-0.3263,-0.3113,0.015
2000-10-18,-0.3585,-0.433,-0.0746
2000-10-19,-0.3509,-0.5132,-0.1623
2000-10-20,-0.5496,-0.8493,-0.2997
2000-10-23,-0.7945,-1.2928,-0.4983
2000-10-24,-0.6701,-1.336,-0.6659
2000-10-25,-0.5791,-1.3897,-0.8106
2000-10-26,-0.5359,-1.4805,-0.9446
2000-10-27,-0.4645,-1.5253,-1.0607
2000-10-30,-0.2741,-1.4034,-1.1293
2000-10-31,-0.0784,-1.2272,-1.1489
2000-11-01,0.0353,-1.1047,-1.14
2000-11-02,0.0672,-1.056,-1.1232
2000-11-03,0.0697,-1.0361,-1.1058
2000-11-06,0.1536,-0.9138,-1.0674
2000-11-07,0.2359,-0.7725,-1.0084
2000-11-08,0.2601,-0.6833,-0.9434
2000-11-09,0.2703,-0.6056,-0.8758
2000-11-10,0.227,-0.592,-0.8191
2000-11-13,0.0398,-0.7693,-0.8091
2000-11-14,0.0113,-0.795,-0.8063
2000-11-15,-0.0157,-0.8259,-0.8102
2000-11-16,-0.0162,-0.8304,-0.8143
2000-11-17,-0.056,-0.8843,-0.8283
2000-11-20,-0.1867,-1.0616,-0.8749
2000-11-21,-0.2068,-1.1334,-0.9266
2000-11-22,-0.3398,-1.3514,-1.0116
2000-11-24,-0.3439,-1.4414,-1.0976
2000-11-27,-0.3343,-1.5155,-1.1811
2000-11-28,-0.2567,-1.5019,-1.2453
2000-11-29,-0.1908,-1.4838,-1.293
2000-11-30,-0.1361,-1.4631,-1.327
2000-12-01,0.0094,-1.3153,-1.3247
2000-12-04,0.1523,-1.1342,-1.2866
2000-12-05,0.4052,-0.78,-1.1853
2000-12-06,0.5412,-0.5088,-1.05
2000-12-07,0.5795,-0.3256,-0.9051
2000-12-08,0.6893,-0.0435,-0.7328
2000-12-11,0.7363,0.1875,-0.5487
2000-12-12,0.5726,0.167,-0.4056
2000-12-13,0.4558,0.1642,-0.2916
2000-12-14,0.2618,0.0356,-0.2262
