date,OBV
2000-05-01,4162200.0
2000-05-02,8403900.0
2000-05-03,2872300.0
2000-05-04,-2264700.0
2000-05-05,4630600.0
2000-05-08,738433.0
2000-05-09,-12700967.0
2000-05-10,-27760367.0
2000-05-11,-14323067.0
2000-05-12,-3609267.0
2000-05-15,9947033.0
2000-05-16,26878933.0
2000-05-17,15584033.0
2000-05-18,2717133.0
2000-05-19,-10175867.0
2000-05-22,-26930467.0
2000-05-23,-26930467.0
2000-05-24,-11987867.0
2000-05-25,-11987867.0
2000-05-26,-20854167.0
2000-05-30,-7908667.0
2000-05-31,6555933.0
2000-06-01,-6261667.0
2000-06-02,5753033.0
2000-06-05,-3839267.0
2000-06-06,-11804067.0
2000-06-07,-1827467.0
2000-06-08,-10519267.0
2000-06-09,-21482067.0
2000-06-12,-21482067.0
2000-06-13,-8075667.0
2000-06-14,-18375767.0
2000-06-15,-6391467.0
2000-06-16,-25386567.0
2000-06-19,-35193967.0
2000-06-20,-24032367.0
2000-06-21,-37877567.0
2000-06-22,-53571767.0
2000-06-23,-43376067.0
2000-06-26,-34272767.0
2000-06-27,-44085867.0
2000-06-28,-30839067.0
2000-06-29,-43732067.0
2000-06-30,-24655767.0
2000-07-03,-31260367.0
2000-07-05,-44818367.0
2000-07-06,-35201867.0
2000-07-07,-25264067.0
2000-07-10,-13017367.0
2000-07-11,-25929967.0
2000-07-12,-15146867.0
2000-07-13,-31247367.0
2000-07-14,-42371267.0
2000-07-17,-24001667.0
2000-07-18,-35989167.0
2000-07-19,-26457867.0
2000-07-20,-15237367.0
2000-07-21,-28257067.0
2000-07-24,-37697067.0
2000-07-25,-46164867.0
2000-07-26,-62930167.0
2000-07-27,-49143567.0
2000-07-28,-62550267.0
2000-07-31,-45356067.0
2000-08-01,-32353167.0
2000-08-02,-47798867.0
2000-08-03,-34863467.0
2000-08-04,-25774967.0
2000-08-07,-33504667.0
2000-08-08,-24696467.0
2000-08-09,-3258767.0
2000-08-10,14982933.0
2000-08-11,2871833.0
2000-08-14,10666833.0
2000-08-15,21459033.0
2000-08-16,14007333.0
2000-08-17,3677333.0
2000-08-18,-4642467.0
2000-08-21,3171733.0
2000-08-22,-4915767.0
2000-08-23,6397033.0
2000-08-24,18378333.0
2000-08-25,26476733.0
2000-08-28,39032733.0
2000-08-29,30802033.0
2000-08-30,20319633.0
2000-08-31,32220233.0
2000-09-01,24479233.0
2000-09-05,15171033.0
2000-09-06,29780533.0
2000-09-07,29780533.0
2000-09-08,40659933.0
2000-09-11,28882433.0
2000-09-12,18702433.0
2000-09-13,18702433.0
2000-09-14,10777633.0
2000-09-15,-9466567.0
2000-09-18,3354733.0
2000-09-19,-8533667.0
2000-09-20,-22745567.0
2000-09-21,-33467267.0
2000-09-22,-19217367.0
2000-09-25,-8214167.0
2000-09-26,-22258967.0
2000-09-27,-7576767.0
2000-09-28,-18741467.0
2000-09-29,-29450967.0
2000-10-02,-17555867.0
2000-10-03,-5326367.0
2000-10-04,-16745567.0
2000-10-05,-4966967.0
2000-10-06,-18972467.0
2000-10-09,-28660067.0
2000-10-10,-39667867.0
2000-10-11,-58179067.0
2000-10-12,-75588067.0
2000-10-13,-60035167.0
2000-10-16,-47040967.0
2000-10-17,-63896967.0
2000-10-18,-82312067.0
2000-10-19,-69123067.0
2000-10-20,-87123167.0
2000-10-23,-158422467.0
2000-10-24,-112427167.0
2000-10-25,-141679567.0
2000-10-26,-160349967.0
2000-10-27,-144885967.0
2000-10-30,-126651167.0
2000-10-31,-109479067.0
2000-11-01,-125379267.0
2000-11-02,-139717467.0
2000-11-03,-151779967.0
2000-11-06,-139835267.0
2000-11-07,-130155067.0
2000-11-08,-139637667.0
2000-11-09,-139637667.0
2000-11-10,-151890367.0
2000-11-13,-170348867.0
2000-11-14,-155641367.0
2000-11-15,-167777667.0
2000-11-16,-157464467.0
2000-11-17,-169452167.0
2000-11-20,-184247067.0
2000-11-21,-172053067.0
2000-11-22,-194276567.0
2000-11-24,-187973567.0
2000-11-27,-204059567.0
2000-11-28,-189247267.0
2000-11-29,-201987267.0
2000-11-30,-222136367.0
2000-12-01,-203933467.0
2000-12-04,-191939967.0
2000-12-05,-171948967.0
2000-12-06,-187827667.0
2000-12-07,-198186867.0
2000-12-08,-181328367.0
2000-12-11,-164883367.0
2000-12-12,-190203267.0
2000-12-13,-172639867.0
2000-12-14,-188390067.0
2000-12-15,-224289667.0
2000-12-18,-210348367.0
2000-12-19,-225726167.0
2000-12-20,-245990567.0
2000-12-21,-226314867.0
2000-12-22,-214614967.0
2000-12-26,-205501167.0
2000-12-27,-217732867.0
2000-12-28,-205170867.0
2000-12-29,-216154167.0
2001-01-02,-252991867.0
2001-01-03,-213786067.0
2001-01-04,-186859667.0
2001-01-05,-209650067.0
2001-01-08,-232860967.0
2001-01-09,-252926967.0
2001-01-10,-228121667.0
2001-01-11,-204522567.0
2001-01-12,-221325467.0
2001-01-16,-201566967.0
2001-01-17,-225978967.0
2001-01-18,-206688667.0
2001-01-19,-226048767.0
2001-01-22,-246740667.0
2001-01-23,-225619067.0
2001-01-24,-244764167.0
2001-01-25,-265576267.0
2001-01-26,-292434767.0
2001-01-29,-315461967.0
2001-01-30,-295618867.0
2001-01-31,-316964967.0
2001-02-01,-299378067.0
2001-02-02,-283337567.0
2001-02-05,-261490567.0
2001-02-06,-277453167.0
2001-02-07,-290484267.0
2001-02-08,-272775767.0
2001-02-09,-291254467.0
2001-02-12,-273301267.0
2001-02-13,-287623367.0
2001-02-14,-300863067.0
2001-02-15,-276851467.0
2001-02-16,-293768467.0
2001-02-20,-273736167.0
2001-02-21,-292233667.0
2001-02-22,-315134967.0
2001-02-23,-338503467.0
2001-02-26,-317429867.0
2001-02-27,-294850967.0
2001-02-28,-321404367.0
2001-03-01,-345362167.0
2001-03-02,-367343267.0
2001-03-05,-350671367.0
2001-03-06,-334979767.0
2001-03-07,-321090267.0
2001-03-08,-337662367.0
2001-03-09,-357553667.0
2001-03-12,-403261967.0
2001-03-13,-360322267.0
2001-03-14,-395759367.0
2001-03-15,-370911667.0
2001-03-16,-415762667.0
2001-03-19,-394930867.0
2001-03-20,-417255267.0
2001-03-21,-444096067.0
2001-03-22,-500037467.0
2001-03-23,-454300867.0
2001-03-26,-423156967.0
2001-03-27,-386604667.0
2001-03-28,-413468567.0
2001-03-29,-440433267.0
2001-03-30,-411005167.0
2001-04-02,-435253567.0
2001-04-03,-458852867.0
2001-04-04,-485684167.0
2001-04-05,-461889467.0
2001-04-06,-486542667.0
2001-04-09,-468761367.0
2001-04-10,-442650267.0
2001-04-11,-462798167.0
2001-04-12,-445532867.0
2001-04-16,-459663067.0
2001-04-17,-439155667.0
2001-04-18,-402716167.0
2001-04-19,-380654167.0
2001-04-20,-403925167.0
2001-04-23,-420137067.0
2001-04-24,-438751567.0
2001-04-25,-420893767.0
2001-04-26,-399849467.0
2001-04-27,-384168167.0
2001-04-30,-402417167.0
2001-05-01,-389349767.0
2001-05-02,-371230167.0
2001-05-03,-389697667.0
2001-05-04,-371384967.0
2001-05-07,-356655067.0
2001-05-08,-371790767.0
2001-05-09,-394889967.0
2001-05-10,-381322067.0
2001-05-11,-393195467.0
2001-05-14,-382223267.0
2001-05-15,-364388867.0
2001-05-16,-339908267.0
2001-05-17,-359362667.0
2001-05-18,-342060667.0
2001-05-21,-323816067.0
2001-05-22,-341194967.0
2001-05-23,-357193967.0
2001-05-24,-344119367.0
2001-05-25,-359755967.0
2001-05-29,-372773567.0
2001-05-30,-388372967.0
2001-05-31,-401760567.0
2001-06-01,-401760567.0
2001-06-04,-387959867.0
2001-06-05,-403192667.0
2001-06-06,-417210367.0
2001-06-07,-406061767.0
2001-06-08,-422867567.0
2001-06-11,-440747067.0
2001-06-12,-403174267.0
2001-06-13,-436279467.0
2001-06-14,-376151367.0
2001-06-15,-419908267.0
2001-06-18,-399805267.0
2001-06-19,-422393467.0
2001-06-20,-392390867.0
2001-06-21,-360421567.0
2001-06-22,-335807167.0
2001-06-25,-362900867.0
2001-06-26,-393705267.0
2001-06-27,-420716267.0
2001-06-28,-397141267.0
2001-06-29,-344450967.0
2001-07-02,-321268067.0
2001-07-03,-338838267.0
2001-07-05,-358300967.0
2001-07-06,-381742467.0
2001-07-09,-397896267.0
2001-07-10,-416919267.0
2001-07-11,-444056867.0
2001-07-12,-422629367.0
2001-07-13,-405009567.0
2001-07-16,-418761367.0
2001-07-17,-437017467.0
2001-07-18,-420064867.0
2001-07-19,-407183867.0
2001-07-20,-395184867.0
2001-07-23,-410388067.0
2001-07-24,-436699367.0
2001-07-25,-461774867.0
2001-07-26,-485388467.0
2001-07-27,-468921267.0
2001-07-30,-485613667.0
2001-07-31,-510374767.0
2001-08-01,-533699467.0
2001-08-02,-558174367.0
2001-08-03,-542899567.0
2001-08-06,-564185867.0
2001-08-07,-540856767.0
2001-08-08,-555449367.0
2001-08-09,-540594367.0
2001-08-10,-527240767.0
2001-08-13,-541436467.0
2001-08-14,-553996267.0
2001-08-15,-568942267.0
2001-08-16,-586024767.0
2001-08-17,-601700367.0
2001-08-20,-588922467.0
2001-08-21,-602841167.0
2001-08-22,-587005067.0
2001-08-23,-576497867.0
2001-08-24,-562901267.0
2001-08-27,-548580967.0
2001-08-28,-561314867.0
2001-08-29,-573214467.0
2001-08-30,-595276167.0
2001-08-31,-578016467.0
2001-09-04,-596502667.0
2001-09-05,-576338167.0
2001-09-06,-594758267.0
2001-09-07,-618941267.0
2001-09-10,-643036267.0
2001-09-17,-714480667.0
2001-09-18,-760591367.0
2001-09-19,-817252167.0
2001-09-20,-863928567.0
2001-09-21,-778039667.0
