date,MACD_Signal,MACD,MACD_Hist
2020-05-01 16:00:00,-0.6782,-0.9822,-0.3039
2020-05-01 15:59:00,-0.6022,-1.0142,-0.4119
2020-05-01 15:58:00,-0.4993,-0.9384,-0.4391
2020-05-01 15:57:00,-0.3895,-0.8087,-0.4192
2020-05-01 15:56:00,-0.2847,-0.7114,-0.4267
2020-05-01 15:55:00,-0.178,-0.589,-0.411
2020-05-01 15:54:00,-0.0752,-0.3229,-0.2476
2020-05-01 15:53:00,-0.0133,-0.0916,-0.0782
2020-05-01 15:52:00,0.0062,0.0309,0.0247
2020-05-01 15:51:00,0.0,0.0824,0.0823
2020-05-01 15:50:00,-0.0205,0.0858,0.1063
2020-05-01 15:49:00,-0.0471,-0.102,-0.0549
2020-05-01 15:48:00,-0.0334,-0.1783,-0.1449
2020-05-01 15:47:00,0.0028,-0.1565,-0.1594
2020-05-01 15:46:00,0.0427,-0.1891,-0.2318
2020-05-01 15:45:00,0.1006,-0.0843,-0.185
2020-05-01 15:44:00,0.1469,-0.0497,-0.1965
2020-05-01 15:43:00,0.196,0.0711,-0.1248
2020-05-01 15:42:00,0.2272,0.1836,-0.0436
2020-05-01 15:41:00,0.2381,0.245,0.0069
2020-05-01 15:40:00,0.2364,0.2211,-0.0153
2020-05-01 15:39:00,0.2402,0.1639,-0.0763
2020-05-01 15:38:00,0.2593,0.1815,-0.0778
2020-05-01 15:37:00,0.2787,0.1511,-0.1276
2020-05-01 15:36:00,0.3106,0.0918,-0.2188
2020-05-01 15:35:00,0.3653,-0.0259,-0.3912
2020-05-01 15:34:00,0.4632,0.0238,-0.4394
2020-05-01 15:33:00,0.573,0.0552,-0.5178
2020-05-01 15:32:00,0.7024,0.0661,-0.6363
2020-05-01 15:31:00,0.8615,0.1269,-0.7347
2020-05-01 15:30:00,1.0452,0.2229,-0.8223
2020-05-01 15:29:00,1.2508,0.3535,-0.8973
2020-05-01 15:28:00,1.4751,0.6372,-0.8379
2020-05-01 15:27:00,1.6846,1.0084,-0.6762
2020-05-01 15:26:00,1.8536,1.3391,-0.5145
2020-05-01 15:25:00,1.9822,1.6991,-0.2831
2020-05-01 15:24:00,2.053,1.8976,-0.1554
2020-05-01 15:23:00,2.0918,2.0653,-0.0265
2020-05-01 15:22:00,2.0985,2.1961,0.0977
2020-05-01 15:21:00,2.0741,2.2927,0.2187
2020-05-01 15:20:00,2.0194,2.3776,0.3582
2020-05-01 15:19:00,1.9298,2.4381,0.5083
2020-05-01 15:18:00,1.8028,2.4687,0.6659
2020-05-01 15:17:00,1.6363,2.377,0.7407
2020-05-01 15:16:00,1.4511,2.306,0.8549
2020-05-01 15:15:00,1.2374,2.2031,0.9657
2020-05-01 15:14:00,0.996,2.0219,1.0259
2020-05-01 15:13:00,0.7395,1.7526,1.0131
2020-05-01 15:12:00,0.4862,1.3625,0.8763
2020-05-01 15:11:00,0.2671,1.0815,0.8143
2020-05-01 15:10:00,0.0636,0.8817,0.8182
2020-05-01 15:09:00,-0.141,0.6205,0.7615
2020-05-01 15:08:00,-0.3314,0.3983,0.7297
2020-05-01 15:07:00,-0.5138,0.142,0.6557
2020-05-01 15:06:00,-0.6777,-0.028,0.6498
2020-05-01 15:05:00,-0.8402,-0.1956,0.6446
2020-05-01 15:04:00,-1.0013,-0.3659,0.6354
2020-05-01 15:03:00,-1.1601,-0.7195,0.4406
2020-05-01 15:02:00,-1.2703,-0.9654,0.3049
2020-05-01 15:01:00,-1.3465,-1.1899,0.1566
2020-05-01 15:00:00,-1.3857,-1.4164,-0.0307
2020-05-01 14:59:00,-1.378,-1.5397,-0.1617
