date,MACD_Signal,MACD_Hist,MACD
2000-06-16,-0.9787,1.3356,0.3569
2000-06-19,-0.638,1.3626,0.7246
2000-06-20,-0.2896,1.3937,1.1041
2000-06-21,0.1378,1.7097,1.8476
2000-06-22,0.579,1.7646,2.3436
2000-06-23,0.9695,1.5621,2.5316
2000-06-26,1.3345,1.4599,2.7944
2000-06-27,1.6503,1.2632,2.9135
2000-06-28,1.917,1.0669,2.9839
2000-06-29,2.1067,0.7588,2.8655
2000-06-30,2.2782,0.686,2.9642
2000-07-03,2.4241,0.5837,3.0078
2000-07-05,2.5169,0.3711,2.888
2000-07-06,2.6047,0.3512,2.9558
2000-07-07,2.6957,0.3642,3.0599
2000-07-10,2.737,0.1653,2.9023
2000-07-11,2.7337,-0.0134,2.7203
2000-07-12,2.7153,-0.0737,2.6416
2000-07-13,2.6763,-0.156,2.5203
2000-07-14,2.6044,-0.2876,2.3168
2000-07-17,2.4977,-0.4266,2.0711
2000-07-18,2.3741,-0.4944,1.8797
2000-07-19,2.1551,-0.8759,1.2792
2000-07-20,1.9099,-0.9809,0.929
2000-07-21,1.6168,-1.1723,0.4445
2000-07-24,1.2775,-1.3572,-0.0797
2000-07-25,0.8992,-1.5132,-0.6139
2000-07-26,0.4953,-1.6157,-1.1204
2000-07-27,0.1202,-1.5003,-1.38
2000-07-28,-0.2123,-1.3299,-1.5422
2000-07-31,-0.4982,-1.1439,-1.6421
2000-08-01,-0.7568,-1.0342,-1.791
2000-08-02,-0.972,-0.861,-1.833
2000-08-03,-1.1326,-0.6422,-1.7748
2000-08-04,-1.2659,-0.5332,-1.7991
2000-08-07,-1.3582,-0.3693,-1.7275
2000-08-08,-1.3512,0.0281,-1.323
2000-08-09,-1.2771,0.2964,-0.9807
2000-08-10,-1.1879,0.3566,-0.8313
2000-08-11,-1.0942,0.375,-0.7192
2000-08-14,-1.0039,0.3609,-0.6431
2000-08-15,-0.9275,0.3059,-0.6216
2000-08-16,-0.8714,0.2243,-0.6471
2000-08-17,-0.8201,0.2051,-0.6151
2000-08-18,-0.7816,0.154,-0.6276
2000-08-21,-0.7574,0.0968,-0.6606
2000-08-22,-0.7317,0.103,-0.6287
2000-08-23,-0.7126,0.0762,-0.6364
2000-08-24,-0.6912,0.0856,-0.6057
2000-08-25,-0.6759,0.0613,-0.6146
2000-08-28,-0.6526,0.0931,-0.5595
2000-08-29,-0.63,0.0905,-0.5395
2000-08-30,-0.6225,0.0299,-0.5927
2000-08-31,-0.6266,-0.0162,-0.6427
2000-09-01,-0.6301,-0.0142,-0.6443
2000-09-05,-0.6329,-0.0109,-0.6438
2000-09-06,-0.6443,-0.0459,-0.6903
2000-09-07,-0.6494,-0.02,-0.6694
2000-09-08,-0.6605,-0.0447,-0.7052
2000-09-11,-0.6815,-0.0837,-0.7652
2000-09-12,-0.7169,-0.1416,-0.8584
2000-09-13,-0.7558,-0.1556,-0.9113
2000-09-14,-0.832,-0.3051,-1.1371
2000-09-15,-0.9516,-0.4785,-1.4302
2000-09-18,-1.109,-0.6295,-1.7385
2000-09-19,-1.2473,-0.5533,-1.8006
2000-09-20,-1.3756,-0.5131,-1.8887
2000-09-21,-1.4887,-0.4522,-1.9409
2000-09-22,-1.5979,-0.4368,-2.0347
2000-09-25,-1.7272,-0.5173,-2.2445
2000-09-26,-1.8355,-0.433,-2.2685
2000-09-27,-1.9535,-0.4722,-2.4257
2000-09-28,-2.0562,-0.4108,-2.467
2000-09-29,-2.1552,-0.3959,-2.551
2000-10-02,-2.2605,-0.4214,-2.6819
2000-10-03,-2.4002,-0.5587,-2.9589
2000-10-04,-2.5665,-0.6651,-3.2316
2000-10-05,-2.7358,-0.6773,-3.4131
2000-10-06,-2.8891,-0.6131,-3.5021
2000-10-09,-3.0395,-0.6017,-3.6413
2000-10-10,-3.1675,-0.5118,-3.6792
2000-10-11,-3.2484,-0.3237,-3.5721
2000-10-12,-3.3101,-0.2467,-3.5568
2000-10-13,-3.359,-0.1955,-3.5545
2000-10-16,-3.4434,-0.3377,-3.781
2000-10-17,-3.5368,-0.3738,-3.9106
2000-10-18,-3.6021,-0.261,-3.8631
2000-10-19,-3.4764,0.5027,-2.9738
2000-10-20,-3.1769,1.1979,-1.979
2000-10-23,-2.8258,1.4045,-1.4213
2000-10-24,-2.4643,1.446,-1.0183
2000-10-25,-2.1136,1.4027,-0.7109
2000-10-26,-1.7324,1.5249,-0.2076
2000-10-27,-1.2962,1.7447,0.4485
2000-10-30,-0.8237,1.8903,1.0666
2000-10-31,-0.3542,1.8778,1.5236
2000-11-01,0.1015,1.8227,1.9241
2000-11-02,0.5354,1.7357,2.271
2000-11-03,0.8988,1.4538,2.3526
2000-11-06,1.2169,1.2725,2.4894
2000-11-07,1.5032,1.1449,2.648
2000-11-08,1.734,0.9235,2.6576
2000-11-09,1.937,0.8118,2.7488
2000-11-10,2.0515,0.4582,2.5098
