date,OBV
2000-05-01,53905500.0
2000-05-02,5047400.0
2000-05-03,32724800.0
2000-05-04,11066200.0
2000-05-05,29267300.0
2000-05-08,11173500.0
2000-05-09,-19215700.0
2000-05-10,-53085700.0
2000-05-11,-23890300.0
2000-05-12,-4947300.0
2000-05-15,12002500.0
2000-05-16,36207800.0
2000-05-17,9586800.0
2000-05-18,-17233400.0
2000-05-19,-50522400.0
2000-05-22,-85499900.0
2000-05-23,-114481500.0
2000-05-24,-71740300.0
2000-05-25,-118914700.0
2000-05-26,-146825700.0
2000-05-30,-112557500.0
2000-05-31,-140041600.0
2000-06-01,-92788000.0
2000-06-02,-52556400.0
2000-06-05,-20356400.0
2000-06-06,29153100.0
2000-06-07,67308400.0
2000-06-08,19925600.0
2000-06-09,19925600.0
2000-06-12,-4704700.0
2000-06-13,17439900.0
2000-06-14,57436100.0
2000-06-15,90232400.0
2000-06-16,124587700.0
2000-06-19,147890100.0
2000-06-20,179027600.0
2000-06-21,259227400.0
2000-06-22,215569800.0
2000-06-23,190664000.0
2000-06-26,214807500.0
2000-06-27,199271900.0
2000-06-28,218001500.0
2000-06-29,198777000.0
2000-06-30,224955200.0
2000-07-03,224955200.0
2000-07-05,207543000.0
2000-07-06,231479600.0
2000-07-07,258556200.0
2000-07-10,232211300.0
2000-07-11,213628900.0
2000-07-12,242814000.0
2000-07-13,202392400.0
2000-07-14,176802100.0
2000-07-17,149805700.0
2000-07-18,185114300.0
2000-07-19,115152000.0
2000-07-20,142497300.0
2000-07-21,114447000.0
2000-07-24,86364200.0
2000-07-25,54269900.0
2000-07-26,11567600.0
2000-07-27,48736400.0
2000-07-28,86559200.0
2000-07-31,121701100.0
2000-08-01,98119300.0
2000-08-02,122253900.0
2000-08-03,149525600.0
2000-08-04,130471900.0
2000-08-07,156842800.0
2000-08-08,225862200.0
2000-08-09,257835000.0
2000-08-10,233342000.0
2000-08-11,215527200.0
2000-08-14,188813700.0
2000-08-15,168456600.0
2000-08-16,145968500.0
2000-08-17,164024900.0
2000-08-18,136805500.0
2000-08-21,119745700.0
2000-08-22,146959800.0
2000-08-23,128596400.0
2000-08-24,149799100.0
2000-08-25,123434400.0
2000-08-28,151645200.0
2000-08-29,121945100.0
2000-08-30,95195700.0
2000-08-31,58908000.0
2000-09-01,77722900.0
2000-09-05,52345300.0
2000-09-06,20864900.0
2000-09-07,76720500.0
2000-09-08,48365700.0
2000-09-11,24118100.0
2000-09-12,727500.0
2000-09-13,21099900.0
2000-09-14,-18151600.0
2000-09-15,-68109200.0
2000-09-18,-102628100.0
2000-09-19,-62972500.0
2000-09-20,-96868200.0
2000-09-21,-121344300.0
2000-09-22,-163582600.0
2000-09-25,-190324700.0
2000-09-26,-112472300.0
2000-09-27,-165550100.0
2000-09-28,-139369900.0
2000-09-29,-176396700.0
2000-10-02,-205677900.0
2000-10-03,-248364900.0
2000-10-04,-316591600.0
2000-10-05,-357141300.0
2000-10-06,-326244300.0
2000-10-09,-355406100.0
2000-10-10,-324373000.0
2000-10-11,-273770100.0
2000-10-12,-318879900.0
2000-10-13,-371140500.0
2000-10-16,-431020000.0
2000-10-17,-390381700.0
2000-10-18,-335113500.0
2000-10-19,-206616900.0
2000-10-20,-126427600.0
2000-10-23,-219012800.0
2000-10-24,-266226500.0
2000-10-25,-350028400.0
2000-10-26,-292615100.0
2000-10-27,-230468900.0
2000-10-30,-175440100.0
2000-10-31,-227677100.0
2000-11-01,-187022400.0
2000-11-02,-148029800.0
2000-11-03,-182385300.0
2000-11-06,-144959600.0
2000-11-07,-92794000.0
2000-11-08,-195868700.0
2000-11-09,-150339400.0
2000-11-10,-197211600.0
2000-11-13,-238894000.0
2000-11-14,-196784700.0
2000-11-15,-166573600.0
2000-11-16,-212637900.0
2000-11-17,-159375100.0
2000-11-20,-199453700.0
2000-11-21,-169709900.0
2000-11-22,-131538300.0
2000-11-24,-114318700.0
2000-11-27,-71664900.0
2000-11-28,-135388000.0
2000-11-29,-184528200.0
2000-11-30,-283128600.0
2000-12-01,-338033500.0
2000-12-04,-378237100.0
2000-12-05,-327369900.0
2000-12-06,-372650300.0
2000-12-07,-445304500.0
2000-12-08,-384834600.0
2000-12-11,-337046500.0
2000-12-12,-305493500.0
2000-12-13,-354673700.0
2000-12-14,-390274400.0
2000-12-15,-448724300.0
2000-12-18,-502318000.0
2000-12-19,-562453900.0
2000-12-20,-636972800.0
2000-12-21,-555386300.0
2000-12-22,-500610400.0
2000-12-26,-467139600.0
2000-12-27,-501641500.0
2000-12-28,-540451100.0
2000-12-29,-590439900.0
2001-01-02,-590439900.0
2001-01-03,-522458800.0
2001-01-04,-466260300.0
2001-01-05,-419553000.0
2001-01-08,-459461800.0
2001-01-09,-401979100.0
2001-01-10,-356864000.0
2001-01-11,-305936600.0
2001-01-12,-342792600.0
2001-01-16,-377023800.0
2001-01-17,-340601700.0
2001-01-18,-285707300.0
2001-01-19,-181032900.0
2001-01-22,-219369400.0
2001-01-23,-184221800.0
2001-01-24,-128994300.0
2001-01-25,-171823000.0
2001-01-26,-125283000.0
2001-01-29,-82791100.0
2001-01-30,-111429500.0
2001-01-31,-152378900.0
2001-02-01,-116482500.0
2001-02-02,-152032500.0
2001-02-05,-126332900.0
2001-02-06,-78111900.0
2001-02-07,-15081000.0
2001-02-08,-59101600.0
2001-02-09,-109389200.0
2001-02-12,-145033900.0
2001-02-13,-183069200.0
2001-02-14,-152205000.0
2001-02-15,-119391100.0
2001-02-16,-152870300.0
2001-02-20,-183235700.0
2001-02-21,-151262100.0
2001-02-22,-201670300.0
2001-02-23,-155360000.0
2001-02-26,-111391600.0
2001-02-27,-160965900.0
2001-02-28,-203270100.0
2001-03-01,-162379300.0
2001-03-02,-202279700.0
2001-03-05,-177587900.0
2001-03-06,-144197000.0
2001-03-07,-114325200.0
2001-03-08,-141638200.0
2001-03-09,-193535400.0
2001-03-12,-250723400.0
2001-03-13,-205205600.0
2001-03-14,-250548700.0
2001-03-15,-286367900.0
2001-03-16,-229943500.0
2001-03-19,-260461700.0
2001-03-20,-306373100.0
2001-03-21,-368867400.0
2001-03-22,-305685800.0
2001-03-23,-255926000.0
2001-03-26,-287485300.0
2001-03-27,-239917500.0
