date,MACD,MACD_Hist,MACD_Signal
2000-06-16,-1.1766,-0.6602,-0.5164
2000-06-19,-1.3959,-0.7036,-0.6923
2000-06-20,-1.6212,-0.7432,-0.8781
2000-06-21,-1.7897,-0.7293,-1.0604
2000-06-22,-1.9308,-0.6963,-1.2345
2000-06-23,-1.8701,-0.5085,-1.3616
2000-06-26,-1.6466,-0.228,-1.4186
2000-06-27,-1.3776,0.0328,-1.4104
2000-06-28,-1.219,0.1531,-1.3721
2000-06-29,-1.0482,0.2591,-1.3073
2000-06-30,-0.8777,0.3437,-1.2214
2000-07-03,-0.6391,0.4658,-1.105
2000-07-05,-0.5048,0.4801,-0.9849
2000-07-06,-0.3738,0.4889,-0.8627
2000-07-07,-0.1425,0.5761,-0.7187
2000-07-10,0.0108,0.5836,-0.5728
2000-07-11,0.2401,0.6503,-0.4102
2000-07-12,0.3675,0.6222,-0.2547
2000-07-13,0.5828,0.67,-0.0872
2000-07-14,0.7401,0.6618,0.0783
2000-07-17,0.9618,0.7068,0.255
2000-07-18,1.1022,0.6778,0.4244
2000-07-19,1.1294,0.564,0.5654
2000-07-20,1.1833,0.4943,0.689
2000-07-21,1.2169,0.4223,0.7946
2000-07-24,1.329,0.4276,0.9015
2000-07-25,1.4368,0.4283,1.0086
2000-07-26,1.5592,0.4405,1.1187
2000-07-27,1.5527,0.3472,1.2055
2000-07-28,1.3808,0.1402,1.2405
2000-07-31,1.2,-0.0324,1.2324
2000-08-01,1.1045,-0.1023,1.2069
2000-08-02,1.1073,-0.0797,1.1869
2000-08-03,1.1263,-0.0485,1.1748
2000-08-04,1.1284,-0.0371,1.1655
2000-08-07,1.0973,-0.0546,1.1519
2000-08-08,1.2398,0.0704,1.1695
2000-08-09,1.3374,0.1343,1.2031
2000-08-10,1.2941,0.0728,1.2213
2000-08-11,1.2606,0.0315,1.2291
2000-08-14,1.2742,0.0361,1.2382
2000-08-15,1.2105,-0.0221,1.2326
2000-08-16,1.1668,-0.0527,1.2195
2000-08-17,1.1543,-0.0521,1.2064
2000-08-18,1.1466,-0.0479,1.1945
2000-08-21,1.0628,-0.1053,1.1681
2000-08-22,0.6061,-0.4496,1.0557
2000-08-23,0.0915,-0.7714,0.8629
2000-08-24,-0.233,-0.8767,0.6437
2000-08-25,-0.3849,-0.8229,0.438
2000-08-28,-0.6391,-0.8616,0.2226
2000-08-29,-0.7312,-0.763,0.0318
2000-08-30,-0.8398,-0.6973,-0.1425
2000-08-31,-1.0636,-0.7369,-0.3267
2000-09-01,-1.1232,-0.6372,-0.486
2000-09-05,-1.0924,-0.4851,-0.6073
2000-09-06,-1.1907,-0.4667,-0.724
2000-09-07,-1.3634,-0.5115,-0.8519
2000-09-08,-1.4433,-0.4731,-0.9701
2000-09-11,-1.6889,-0.575,-1.1139
2000-09-12,-1.6115,-0.3981,-1.2134
2000-09-13,-1.6235,-0.3281,-1.2954
2000-09-14,-1.6248,-0.2635,-1.3613
2000-09-15,-1.7668,-0.3244,-1.4424
2000-09-18,-1.7479,-0.2444,-1.5035
2000-09-19,-1.3844,0.0953,-1.4797
2000-09-20,-1.4126,0.0537,-1.4663
2000-09-21,-1.3587,0.0861,-1.4447
2000-09-22,-1.2268,0.1743,-1.4012
2000-09-25,-1.0593,0.2735,-1.3328
2000-09-26,-0.9263,0.3252,-1.2515
2000-09-27,-0.8259,0.3405,-1.1664
2000-09-28,-0.7179,0.3588,-1.0767
2000-09-29,-0.6307,0.3568,-0.9875
2000-10-02,-0.5599,0.342,-0.902
2000-10-03,-0.3785,0.4188,-0.7973
2000-10-04,-0.2966,0.4005,-0.6971
2000-10-05,-0.0448,0.5218,-0.5667
2000-10-06,-0.1111,0.3645,-0.4756
2000-10-09,-0.2168,0.207,-0.4238
2000-10-10,-0.2421,0.1454,-0.3874
2000-10-11,-0.319,0.0548,-0.3737
2000-10-12,-0.4202,-0.0372,-0.383
2000-10-13,-0.4852,-0.0817,-0.4035
2000-10-16,-0.4556,-0.0417,-0.4139
2000-10-17,-0.5421,-0.1026,-0.4395
2000-10-18,-0.6236,-0.1473,-0.4764
2000-10-19,-0.6301,-0.123,-0.5071
2000-10-20,-0.7278,-0.1765,-0.5513
2000-10-23,-0.8558,-0.2436,-0.6122
2000-10-24,-0.8921,-0.224,-0.6682
2000-10-25,-0.8849,-0.1734,-0.7115
2000-10-26,-0.7247,-0.0106,-0.7141
2000-10-27,-0.6612,0.0424,-0.7036
2000-10-30,-0.5536,0.1199,-0.6736
2000-10-31,-0.3833,0.2322,-0.6155
2000-11-01,-0.2502,0.2922,-0.5425
2000-11-02,0.0611,0.4828,-0.4217
2000-11-03,0.2197,0.5132,-0.2934
2000-11-06,0.446,0.5916,-0.1455
2000-11-07,0.643,0.6308,0.0122
2000-11-08,0.9096,0.718,0.1916
2000-11-09,1.0387,0.6777,0.3611
2000-11-10,0.963,0.4815,0.4814
2000-11-13,0.8782,0.3174,0.5608
2000-11-14,0.8314,0.2165,0.6149
2000-11-15,0.8155,0.1605,0.655
2000-11-16,0.7283,0.0586,0.6697
2000-11-17,0.6821,0.0099,0.6722
2000-11-20,0.5032,-0.1351,0.6384
2000-11-21,0.3574,-0.2248,0.5822
2000-11-22,0.259,-0.2586,0.5175
2000-11-24,0.1989,-0.2549,0.4538
2000-11-27,0.349,-0.0839,0.4328
2000-11-28,0.5376,0.0838,0.4538
2000-11-29,0.589,0.1082,0.4808
2000-11-30,0.6083,0.102,0.5063
2000-12-01,0.701,0.1558,0.5453
2000-12-04,0.8702,0.2599,0.6103
2000-12-05,0.933,0.2582,0.6748
2000-12-06,0.8966,0.1774,0.7192
2000-12-07,0.7238,0.0037,0.7201
2000-12-08,0.6544,-0.0526,0.7069
2000-12-11,0.7074,0.0004,0.707
2000-12-12,0.8055,0.0788,0.7267
2000-12-13,0.8931,0.1331,0.76
2000-12-14,1.1861,0.3409,0.8452
2000-12-15,1.3726,0.4219,0.9507
2000-12-18,1.4281,0.3819,1.0462
2000-12-19,1.5247,0.3829,1.1419
2000-12-20,1.7083,0.4531,1.2552
2000-12-21,1.8422,0.4696,1.3726
2000-12-22,2.0809,0.5667,1.5143
2000-12-26,2.4732,0.7671,1.706
2000-12-27,2.9621,1.0048,1.9572
2000-12-28,3.3162,1.0871,2.229
2000-12-29,3.4808,1.0014,2.4794
2001-01-02,3.4361,0.7654,2.6707
2001-01-03,3.5064,0.6685,2.8379
2001-01-04,3.6363,0.6387,2.9975
2001-01-05,3.4972,0.3997,3.0975
2001-01-08,3.5678,0.3762,3.1915
2001-01-09,3.7268,0.4282,3.2986
2001-01-10,3.7044,0.3246,3.3797
2001-01-11,3.6143,0.1877,3.4267
2001-01-12,3.398,-0.0229,3.4209
2001-01-16,3.1301,-0.2327,3.3628
2001-01-17,2.894,-0.375,3.269
2001-01-18,2.696,-0.4584,3.1544
2001-01-19,2.2214,-0.7464,2.9678
2001-01-22,1.8641,-0.8829,2.7471
