date,OBV
2000-05-01,1016300.0
2000-05-02,457600.0
2000-05-03,-558200.0
2000-05-04,207900.0
2000-05-05,207900.0
2000-05-08,1066400.0
2000-05-09,1896900.0
2000-05-10,1360200.0
2000-05-11,1691900.0
2000-05-12,2027900.0
2000-05-15,2772400.0
2000-05-16,3178200.0
2000-05-17,2553000.0
2000-05-18,1590000.0
2000-05-19,379700.0
2000-05-22,-344600.0
2000-05-23,1123700.0
2000-05-24,2869600.0
2000-05-25,1751700.0
2000-05-26,2360700.0
2000-05-30,3070300.0
2000-05-31,2104400.0
2000-06-01,2631000.0
2000-06-02,3206000.0
2000-06-05,2726300.0
2000-06-06,2277600.0
2000-06-07,2799000.0
2000-06-08,2449700.0
2000-06-09,1715800.0
2000-06-12,-162000.0
2000-06-13,-1028100.0
2000-06-14,-330800.0
2000-06-15,-1083700.0
2000-06-16,-2150600.0
2000-06-19,-2883600.0
2000-06-20,-4006100.0
2000-06-21,-4655000.0
2000-06-22,-5187200.0
2000-06-23,-4278300.0
2000-06-26,-2829300.0
2000-06-27,-1855500.0
2000-06-28,-2879000.0
2000-06-29,-1868600.0
2000-06-30,-552800.0
2000-07-03,372900.0
2000-07-05,-78400.0
2000-07-06,318800.0
2000-07-07,992000.0
2000-07-10,481500.0
2000-07-11,1210300.0
2000-07-12,618700.0
2000-07-13,1630900.0
2000-07-14,536800.0
2000-07-17,1514700.0
2000-07-18,850900.0
2000-07-19,381100.0
2000-07-20,839800.0
2000-07-21,1525900.0
2000-07-24,2591800.0
2000-07-25,3246100.0
2000-07-26,4649000.0
2000-07-27,3813300.0
2000-07-28,3266400.0
2000-07-31,2637300.0
2000-08-01,3066900.0
2000-08-02,3569900.0
2000-08-03,4546000.0
2000-08-04,4546000.0
2000-08-07,3529900.0
2000-08-08,4562500.0
2000-08-09,4562500.0
2000-08-10,3611100.0
2000-08-11,4280500.0
2000-08-14,5083100.0
2000-08-15,4528200.0
2000-08-16,5293300.0
2000-08-17,5986300.0
2000-08-18,6444400.0
2000-08-21,5729400.0
2000-08-22,3129900.0
2000-08-23,669100.0
2000-08-24,2188700.0
2000-08-25,3001300.0
2000-08-28,1729800.0
2000-08-29,3046300.0
2000-08-30,2371300.0
2000-08-31,878200.0
2000-09-01,1800500.0
2000-09-05,2392900.0
2000-09-06,1461700.0
2000-09-07,-1149600.0
2000-09-08,655100.0
2000-09-11,-2325500.0
2000-09-12,1221400.0
2000-09-13,-82800.0
2000-09-14,-1203000.0
2000-09-15,-4884100.0
2000-09-18,-3614500.0
2000-09-19,-2942400.0
2000-09-20,-4052900.0
2000-09-21,-3388600.0
2000-09-22,-2108300.0
2000-09-25,-1233100.0
2000-09-26,-2024000.0
2000-09-27,-2974400.0
2000-09-28,-1989100.0
2000-09-29,-2592500.0
2000-10-02,-3072600.0
2000-10-03,-2283500.0
2000-10-04,-3011000.0
2000-10-05,-2166100.0
2000-10-06,-2860300.0
2000-10-09,-3747900.0
2000-10-10,-2915200.0
2000-10-11,-3719300.0
2000-10-12,-4171700.0
2000-10-13,-3741500.0
2000-10-16,-3122300.0
2000-10-17,-6409000.0
