date,ROC
2020-04-27 10:31:00,-1.4165
2020-04-27 10:32:00,-1.1829
2020-04-27 10:33:00,-1.1501
2020-04-27 10:34:00,-1.1048
2020-04-27 10:35:00,-1.0938
2020-04-27 10:36:00,-1.301
2020-04-27 10:37:00,-1.1737
2020-04-27 10:38:00,-0.8763
2020-04-27 10:39:00,-0.8428
2020-04-27 10:40:00,-0.6005
2020-04-27 10:41:00,-0.5041
2020-04-27 10:42:00,-0.1754
2020-04-27 10:43:00,-0.227
2020-04-27 10:44:00,-0.1193
2020-04-27 10:45:00,0.0741
2020-04-27 10:46:00,0.0855
2020-04-27 10:47:00,0.2224
2020-04-27 10:48:00,0.2986
2020-04-27 10:49:00,0.2768
2020-04-27 10:50:00,0.3102
2020-04-27 10:51:00,0.3831
2020-04-27 10:52:00,0.4687
2020-04-27 10:53:00,0.4395
2020-04-27 10:54:00,0.8702
2020-04-27 10:55:00,0.8927
2020-04-27 10:56:00,0.9259
2020-04-27 10:57:00,0.8399
2020-04-27 10:58:00,0.6041
2020-04-27 10:59:00,0.3755
2020-04-27 11:00:00,0.387
2020-04-27 11:01:00,0.4324
2020-04-27 11:02:00,0.5071
2020-04-27 11:03:00,0.9193
2020-04-27 11:04:00,0.8739
2020-04-27 11:05:00,0.8398
2020-04-27 11:06:00,0.8224
2020-04-27 11:07:00,0.6385
2020-04-27 11:08:00,1.0054
2020-04-27 11:09:00,0.8063
2020-04-27 11:10:00,0.8052
2020-04-27 11:11:00,0.9303
2020-04-27 11:12:00,0.7528
2020-04-27 11:13:00,0.8377
2020-04-27 11:14:00,0.8084
2020-04-27 11:15:00,0.6768
2020-04-27 11:16:00,0.6879
2020-04-27 11:17:00,0.7225
2020-04-27 11:18:00,0.83
2020-04-27 11:19:00,0.9095
2020-04-27 11:20:00,1.0924
2020-04-27 11:21:00,1.1144
2020-04-27 11:22:00,1.2066
2020-04-27 11:23:00,1.35
2020-04-27 11:24:00,1.3794
2020-04-27 11:25:00,1.3193
2020-04-27 11:26:00,1.4177
2020-04-27 11:27:00,1.3541
2020-04-27 11:28:00,1.6079
2020-04-27 11:29:00,1.5962
2020-04-27 11:30:00,1.6188
2020-04-27 11:31:00,1.5395
2020-04-27 11:32:00,1.522
2020-04-27 11:33:00,1.4886
2020-04-27 11:34:00,1.596
2020-04-27 11:35:00,1.6646
2020-04-27 11:36:00,1.7348
2020-04-27 11:37:00,1.633
2020-04-27 11:38:00,1.6655
2020-04-27 11:39:00,1.717
2020-04-27 11:40:00,1.5502
2020-04-27 11:41:00,1.4518
2020-04-27 11:42:00,1.4054
2020-04-27 11:43:00,1.2853
2020-04-27 11:44:00,1.308
2020-04-27 11:45:00,1.3837
2020-04-27 11:46:00,1.4017
2020-04-27 11:47:00,1.2063
2020-04-27 11:48:00,1.3598
2020-04-27 11:49:00,1.3661
2020-04-27 11:50:00,1.3661
2020-04-27 11:51:00,1.3555
2020-04-27 11:52:00,1.2972
2020-04-27 11:53:00,1.1479
2020-04-27 11:54:00,1.0898
2020-04-27 11:55:00,1.0095
2020-04-27 11:56:00,0.9514
2020-04-27 11:57:00,0.9688
2020-04-27 11:58:00,0.9517
2020-04-27 11:59:00,0.9956
2020-04-27 12:00:00,0.9581
2020-04-27 12:01:00,0.7706
2020-04-27 12:02:00,0.8333
2020-04-27 12:03:00,0.6847
2020-04-27 12:04:00,0.872
2020-04-27 12:05:00,0.8102
2020-04-27 12:06:00,0.793
2020-04-27 12:07:00,0.8383
2020-04-27 12:08:00,0.7126
2020-04-27 12:09:00,0.6725
2020-04-27 12:10:00,0.757
2020-04-27 12:11:00,0.6673
2020-04-27 12:12:00,0.7755
2020-04-27 12:13:00,0.5877
2020-04-27 12:14:00,0.5531
2020-04-27 12:15:00,0.7514
2020-04-27 12:16:00,0.6772
2020-04-27 12:17:00,0.6775
2020-04-27 12:18:00,0.5131
2020-04-27 12:19:00,0.4157
2020-04-27 12:20:00,0.4277
2020-04-27 12:21:00,0.3599
2020-04-27 12:22:00,0.4049
2020-04-27 12:23:00,0.2867
2020-04-27 12:24:00,0.3598
2020-04-27 12:25:00,0.2754
2020-04-27 12:26:00,0.1403
2020-04-27 12:27:00,0.1235
2020-04-27 12:28:00,-0.0215
2020-04-27 12:29:00,-0.0346
2020-04-27 12:30:00,-0.0449
2020-04-27 12:31:00,0.0225
2020-04-27 12:32:00,0.0898
2020-04-27 12:33:00,0.2473
2020-04-27 12:34:00,0.1066
2020-04-27 12:35:00,0.1009
2020-04-27 12:36:00,0.2468
2020-04-27 12:37:00,0.4044
2020-04-27 12:38:00,0.2581
2020-04-27 12:39:00,0.1458
2020-04-27 12:40:00,0.2357
2020-04-27 12:41:00,0.202
2020-04-27 12:42:00,0.1571
2020-04-27 12:43:00,0.1909
2020-04-27 12:44:00,0.1765
2020-04-27 12:45:00,0.168
2020-04-27 12:46:00,0.2248
2020-04-27 12:47:00,0.1912
2020-04-27 12:48:00,0.073
2020-04-27 12:49:00,0.146
2020-04-27 12:50:00,0.1572
2020-04-27 12:51:00,0.2472
2020-04-27 12:52:00,0.2359
2020-04-27 12:53:00,0.2303
2020-04-27 12:54:00,0.2357
2020-04-27 12:55:00,0.2695
2020-04-27 12:56:00,0.2917
2020-04-27 12:57:00,0.3086
2020-04-27 12:58:00,0.3199
2020-04-27 12:59:00,0.2603
2020-04-27 13:00:00,0.2751
2020-04-27 13:01:00,0.3597
2020-04-27 13:02:00,0.2811
2020-04-27 13:03:00,0.281
2020-04-27 13:04:00,0.1684
2020-04-27 13:05:00,0.3147
2020-04-27 13:06:00,0.326
2020-04-27 13:07:00,0.3427
2020-04-27 13:08:00,0.3257
2020-04-27 13:09:00,0.32
2020-04-27 13:10:00,0.2869
2020-04-27 13:11:00,0.337
2020-04-27 13:12:00,0.2808
2020-04-27 13:13:00,0.3708
2020-04-27 13:14:00,0.3593
2020-04-27 13:15:00,0.2019
2020-04-27 13:16:00,0.1574
2020-04-27 13:17:00,0.258
2020-04-27 13:18:00,0.331
2020-04-27 13:19:00,0.2704
2020-04-27 13:20:00,0.158
2020-04-27 13:21:00,0.1849
2020-04-27 13:22:00,0.2128
2020-04-27 13:23:00,0.3137
2020-04-27 13:24:00,0.1961
2020-04-27 13:25:00,0.2634
2020-04-27 13:26:00,0.3476
2020-04-27 13:27:00,0.4093
2020-04-27 13:28:00,0.5772
2020-04-27 13:29:00,0.5397
2020-04-27 13:30:00,0.5219
2020-04-27 13:31:00,0.5783
2020-04-27 13:32:00,0.4937
2020-04-27 13:33:00,0.4148
2020-04-27 13:34:00,0.3878
2020-04-27 13:35:00,0.3697
2020-04-27 13:36:00,0.215
2020-04-27 13:37:00,0.1344
2020-04-27 13:38:00,0.1119
2020-04-27 13:39:00,0.1904
2020-04-27 13:40:00,0.168
