date,MACD,MACD_Signal,MACD_Hist
2000-06-16,0.6821,0.4533,0.2288
2000-06-19,0.6949,0.5016,0.1933
2000-06-20,0.7265,0.5466,0.1799
2000-06-21,0.798,0.5969,0.2012
2000-06-22,0.8147,0.6404,0.1742
2000-06-23,0.7785,0.668,0.1105
2000-06-26,0.8163,0.6977,0.1186
2000-06-27,0.9364,0.7454,0.1909
2000-06-28,1.0748,0.8113,0.2635
2000-06-29,1.1462,0.8783,0.268
2000-06-30,1.2139,0.9454,0.2685
2000-07-03,1.2778,1.0119,0.2659
2000-07-05,1.2981,1.0691,0.229
2000-07-06,1.2794,1.1112,0.1682
2000-07-07,1.5492,1.1988,0.3504
2000-07-10,1.5786,1.2748,0.3039
2000-07-11,1.5989,1.3396,0.2593
2000-07-12,1.626,1.3969,0.2291
2000-07-13,1.604,1.4383,0.1657
2000-07-14,1.5685,1.4643,0.1042
2000-07-17,1.5076,1.473,0.0346
2000-07-18,1.438,1.466,-0.028
2000-07-19,1.367,1.4462,-0.0792
2000-07-20,1.3158,1.4201,-0.1043
2000-07-21,1.2559,1.3873,-0.1314
2000-07-24,1.1771,1.3452,-0.1681
2000-07-25,1.0094,1.2781,-0.2687
2000-07-26,0.7971,1.1819,-0.3848
2000-07-27,0.4973,1.045,-0.5477
2000-07-28,0.3261,0.9012,-0.5751
2000-07-31,0.2281,0.7666,-0.5384
2000-08-01,0.1839,0.65,-0.4662
2000-08-02,0.2516,0.5703,-0.3187
2000-08-03,0.3664,0.5296,-0.1631
2000-08-04,0.5823,0.5401,0.0422
2000-08-07,0.834,0.5989,0.2352
2000-08-08,1.0274,0.6846,0.3428
2000-08-09,1.1768,0.783,0.3937
2000-08-10,1.2708,0.8806,0.3902
2000-08-11,1.3148,0.9674,0.3474
2000-08-14,1.2745,1.0288,0.2457
2000-08-15,1.1335,1.0498,0.0837
2000-08-16,1.0204,1.0439,-0.0235
2000-08-17,0.7104,0.9772,-0.2668
2000-08-18,0.3302,0.8478,-0.5176
2000-08-21,0.078,0.6938,-0.6158
2000-08-22,-0.1005,0.535,-0.6355
2000-08-23,-0.374,0.3532,-0.7272
2000-08-24,-0.5586,0.1708,-0.7294
2000-08-25,-0.7271,-0.0088,-0.7183
2000-08-28,-0.8261,-0.1722,-0.6539
2000-08-29,-0.9684,-0.3315,-0.637
2000-08-30,-0.9445,-0.4541,-0.4904
2000-08-31,-0.9197,-0.5472,-0.3725
2000-09-01,-0.8053,-0.5988,-0.2065
2000-09-05,-0.7113,-0.6213,-0.09
2000-09-06,-0.6845,-0.634,-0.0506
2000-09-07,-0.6007,-0.6273,0.0266
2000-09-08,-0.6383,-0.6295,-0.0088
2000-09-11,-0.6501,-0.6336,-0.0165
2000-09-12,-0.5722,-0.6214,0.0492
2000-09-13,-0.3802,-0.5731,0.1929
2000-09-14,-0.3052,-0.5195,0.2144
2000-09-15,-0.1783,-0.4513,0.273
2000-09-18,-0.175,-0.396,0.221
2000-09-19,-0.1616,-0.3492,0.1875
2000-09-20,-0.1294,-0.3052,0.1758
2000-09-21,-0.0428,-0.2527,0.2099
2000-09-22,0.0654,-0.1891,0.2545
2000-09-25,0.214,-0.1085,0.3225
2000-09-26,0.2929,-0.0282,0.3211
2000-09-27,0.3817,0.0538,0.328
2000-09-28,0.5411,0.1513,0.3898
2000-09-29,0.58,0.237,0.343
2000-10-02,0.6294,0.3155,0.3139
