date,OBV
2000-05-01,7388800.0
2000-05-02,11499800.0
2000-05-03,9015600.0
2000-05-04,12102400.0
2000-05-05,14260700.0
2000-05-08,12572600.0
2000-05-09,14101000.0
2000-05-10,12768700.0
2000-05-11,14092400.0
2000-05-12,13288000.0
2000-05-15,9202700.0
2000-05-16,11473900.0
2000-05-17,9851400.0
2000-05-18,8884500.0
2000-05-19,7512000.0
2000-05-22,5618600.0
2000-05-23,4137400.0
2000-05-24,6730900.0
2000-05-25,5368500.0
2000-05-26,4422500.0
2000-05-30,6327600.0
2000-05-31,9469900.0
2000-06-01,11271700.0
2000-06-02,13552300.0
2000-06-05,11652400.0
2000-06-06,21695300.0
2000-06-07,-15231100.0
2000-06-08,-10201600.0
2000-06-09,-8630300.0
2000-06-12,-10677000.0
2000-06-13,-9028400.0
2000-06-14,-10138300.0
2000-06-15,-11137000.0
2000-06-16,-9938400.0
2000-06-19,-8957500.0
2000-06-20,-7770100.0
2000-06-21,-6355500.0
2000-06-22,-7727100.0
2000-06-23,-8797500.0
2000-06-26,-7673900.0
2000-06-27,-4924200.0
2000-06-28,-3048100.0
2000-06-29,-4798800.0
2000-06-30,-2412900.0
2000-07-03,-1893800.0
2000-07-05,-3078500.0
2000-07-06,-6141500.0
2000-07-07,-659200.0
2000-07-10,-4041200.0
2000-07-11,-2773200.0
2000-07-12,-1396600.0
2000-07-13,-2563700.0
2000-07-14,-2563700.0
2000-07-17,-3362700.0
2000-07-18,-4884100.0
2000-07-19,-4884100.0
2000-07-20,-3444500.0
2000-07-21,-5211800.0
2000-07-24,-6626800.0
2000-07-25,-11896700.0
2000-07-26,-14475300.0
2000-07-27,-18192900.0
2000-07-28,-15461400.0
2000-07-31,-13987800.0
2000-08-01,-12780100.0
2000-08-02,-11364800.0
2000-08-03,-9740100.0
2000-08-04,-7298300.0
2000-08-07,-4256100.0
2000-08-08,-2014300.0
2000-08-09,8000.0
2000-08-10,-2830500.0
2000-08-11,-4753000.0
2000-08-14,-6346000.0
2000-08-15,-7647600.0
2000-08-16,-4873200.0
2000-08-17,-8346600.0
2000-08-18,-12330600.0
2000-08-21,-10803400.0
2000-08-22,-9339500.0
2000-08-23,-14483400.0
2000-08-24,-12902700.0
2000-08-25,-14189900.0
2000-08-28,-12941200.0
2000-08-29,-14817000.0
2000-08-30,-12338500.0
2000-08-31,-13542500.0
2000-09-01,-11677000.0
2000-09-05,-12604400.0
2000-09-06,-14202300.0
2000-09-07,-13370000.0
2000-09-08,-14169300.0
2000-09-11,-13053300.0
2000-09-12,-12133900.0
2000-09-13,-10362300.0
2000-09-14,-11902800.0
2000-09-15,-9436700.0
2000-09-18,-10489000.0
2000-09-19,-9264000.0
2000-09-20,-7976500.0
2000-09-21,-6613400.0
2000-09-22,-5375100.0
2000-09-25,-3901200.0
2000-09-26,-4958800.0
2000-09-27,-3395700.0
2000-09-28,-1753200.0
2000-09-29,-3073700.0
2000-10-02,-1354000.0
2000-10-03,-2668900.0
2000-10-04,-1418400.0
2000-10-05,674100.0
2000-10-06,-699300.0
2000-10-09,412900.0
2000-10-10,1634900.0
2000-10-11,468500.0
2000-10-12,-1402300.0
2000-10-13,169800.0
2000-10-16,1628800.0
2000-10-17,572300.0
2000-10-18,2219800.0
2000-10-19,4192200.0
2000-10-20,3101200.0
2000-10-23,1917900.0
2000-10-24,2943500.0
2000-10-25,4614400.0
2000-10-26,7146600.0
2000-10-27,3312200.0
2000-10-30,5475300.0
2000-10-31,10634700.0
2000-11-01,6408200.0
2000-11-02,8959800.0
2000-11-03,13960500.0
2000-11-06,11195900.0
2000-11-07,13680100.0
2000-11-08,11874000.0
2000-11-09,11874000.0
2000-11-10,10444500.0
2000-11-13,7916400.0
2000-11-14,10407100.0
2000-11-15,11977500.0
2000-11-16,9753800.0
2000-11-17,13992700.0
2000-11-20,20451200.0
2000-11-21,16488500.0
2000-11-22,19664500.0
2000-11-24,18996900.0
2000-11-27,15587400.0
2000-11-28,13036400.0
2000-11-29,15926000.0
2000-11-30,18759400.0
2000-12-01,16482100.0
2000-12-04,19313900.0
2000-12-05,21657800.0
2000-12-06,19201200.0
2000-12-07,20852200.0
2000-12-08,22706600.0
2000-12-11,19555400.0
2000-12-12,21317400.0
2000-12-13,19888200.0
2000-12-14,18110700.0
2000-12-15,14053300.0
2000-12-18,16134100.0
2000-12-19,18578000.0
2000-12-20,15874400.0
2000-12-21,17936800.0
2000-12-22,19728700.0
2000-12-26,18680100.0
2000-12-27,16186900.0
2000-12-28,18100300.0
2000-12-29,16694500.0
2001-01-02,14639700.0
2001-01-03,17641500.0
2001-01-04,14624100.0
2001-01-05,18130100.0
2001-01-08,20056600.0
2001-01-09,18951000.0
2001-01-10,21515000.0
2001-01-11,23019700.0
2001-01-12,25100700.0
2001-01-16,26526400.0
2001-01-17,26526400.0
2001-01-18,28078200.0
2001-01-19,30053800.0
2001-01-22,28655400.0
2001-01-23,29886100.0
2001-01-24,26787000.0
2001-01-25,24318100.0
2001-01-26,27144800.0
2001-01-29,33019600.0
2001-01-30,30709900.0
2001-01-31,34700800.0
2001-02-01,32123600.0
2001-02-02,29175100.0
2001-02-05,31250000.0
2001-02-06,34673500.0
2001-02-07,34673500.0
2001-02-08,31236000.0
2001-02-09,29796000.0
2001-02-12,31493100.0
2001-02-13,29345800.0
2001-02-14,27071200.0
2001-02-15,28534000.0
2001-02-16,27461300.0
2001-02-20,25631800.0
2001-02-21,23249800.0
2001-02-22,21639800.0
2001-02-23,23898100.0
2001-02-26,25672900.0
2001-02-27,27709900.0
2001-02-28,25154300.0
2001-03-01,22775300.0
2001-03-02,17060200.0
2001-03-05,15393600.0
2001-03-06,17289900.0
2001-03-07,15282100.0
2001-03-08,17613300.0
2001-03-09,16251400.0
2001-03-12,13972300.0
2001-03-13,10667600.0
2001-03-14,8465900.0
2001-03-15,10048300.0
2001-03-16,12641400.0
2001-03-19,14428000.0
2001-03-20,12103400.0
2001-03-21,8912400.0
2001-03-22,4265300.0
2001-03-23,7234100.0
2001-03-26,10130600.0
2001-03-27,7051400.0
2001-03-28,9481900.0
2001-03-29,12836800.0
2001-03-30,15689000.0
2001-04-02,17714500.0
2001-04-03,15258600.0
2001-04-04,11934900.0
2001-04-05,11934900.0
2001-04-06,3309700.0
2001-04-09,8276500.0
2001-04-10,11505200.0
2001-04-11,14595800.0
2001-04-12,9555400.0
2001-04-16,11727800.0
2001-04-17,13153600.0
2001-04-18,16290900.0
2001-04-19,14073500.0
2001-04-20,12109600.0
2001-04-23,10096400.0
2001-04-24,6762600.0
2001-04-25,9443800.0
2001-04-26,7238600.0
2001-04-27,-6733100.0
2001-04-30,-10271600.0
2001-05-01,-4043200.0
2001-05-02,-8610800.0
2001-05-03,-12820700.0
2001-05-04,-6098100.0
2001-05-07,-9471900.0
2001-05-08,-16369600.0
2001-05-09,-13099400.0
2001-05-10,-15893500.0
2001-05-11,-12525600.0
2001-05-14,-7515700.0
2001-05-15,-2951600.0
2001-05-16,1488700.0
2001-05-17,7118400.0
2001-05-18,4105000.0
2001-05-21,7852700.0
2001-05-22,12042000.0
2001-05-23,7118200.0
2001-05-24,10759400.0
2001-05-25,12395200.0
2001-05-29,10400800.0
2001-05-30,14967800.0
2001-05-31,9523500.0
2001-06-01,13930100.0
2001-06-04,11632000.0
2001-06-05,14814200.0
2001-06-06,11894500.0
2001-06-07,14089700.0
2001-06-08,12216800.0
2001-06-11,14437800.0
2001-06-12,16912500.0
2001-06-13,20036900.0
2001-06-14,17575200.0
2001-06-15,21251800.0
2001-06-18,23800300.0
2001-06-19,27903800.0
2001-06-20,31889200.0
2001-06-21,43890700.0
2001-06-22,39286600.0
2001-06-25,42249800.0
2001-06-26,40132500.0
2001-06-27,43096300.0
2001-06-28,47049600.0
2001-06-29,50744500.0
2001-07-02,46617200.0
2001-07-03,43925500.0
2001-07-05,40846300.0
2001-07-06,31566000.0
2001-07-09,36359600.0
2001-07-10,29706100.0
2001-07-11,35476100.0
2001-07-12,41674000.0
2001-07-13,36524500.0
2001-07-16,32467400.0
2001-07-17,28842300.0
2001-07-18,24650500.0
2001-07-19,21770100.0
2001-07-20,25716600.0
2001-07-23,23680200.0
2001-07-24,26340200.0
2001-07-25,22768000.0
2001-07-26,18489300.0
2001-07-27,11450800.0
2001-07-30,8225500.0
2001-07-31,3350900.0
2001-08-01,8499100.0
2001-08-02,11397000.0
2001-08-03,6022400.0
2001-08-06,2992900.0
2001-08-07,6629500.0
2001-08-08,2441800.0
2001-08-09,6460100.0
2001-08-10,2444300.0
2001-08-13,4876500.0
2001-08-14,2105700.0
2001-08-15,-617400.0
2001-08-16,2452300.0
2001-08-17,-379300.0
2001-08-20,2618000.0
2001-08-21,5788300.0
2001-08-22,2669800.0
2001-08-23,-716100.0
2001-08-24,-4748600.0
2001-08-27,-7953200.0
2001-08-28,-11840400.0
2001-08-29,-15680000.0
2001-08-30,-21214200.0
2001-08-31,-29012900.0
2001-09-04,-33940500.0
2001-09-05,-29319200.0
2001-09-06,-35905200.0
2001-09-07,-40018400.0
2001-09-10,-35029500.0
2001-09-17,-42854900.0
2001-09-18,-39340500.0
2001-09-19,-45278800.0
2001-09-20,-54190300.0
2001-09-21,-64044900.0
2001-09-24,-56924300.0
2001-09-25,-52089600.0
2001-09-26,-56567100.0
2001-09-27,-53269000.0
2001-09-28,-49447400.0
2001-10-01,-52661500.0
2001-10-02,-57643100.0
2001-10-03,-53579100.0
2001-10-04,-63191200.0
2001-10-05,-53024000.0
2001-10-08,-50240300.0
2001-10-09,-52811900.0
2001-10-10,-49998100.0
2001-10-11,-45892700.0
2001-10-12,-52361300.0
2001-10-15,-49219100.0
2001-10-16,-45909500.0
2001-10-17,-50460800.0
2001-10-18,-46777500.0
2001-10-19,-43324200.0
2001-10-22,-40362500.0
2001-10-23,-44728500.0
2001-10-24,-40484400.0
2001-10-25,-36516100.0
2001-10-26,-34094200.0
2001-10-29,-37139300.0
2001-10-30,-32905800.0
2001-10-31,-35944900.0
2001-11-01,-32451600.0
2001-11-02,-26099300.0
2001-11-05,-21962700.0
2001-11-06,-17073800.0
2001-11-07,-20540000.0
2001-11-08,-22922300.0
2001-11-09,-20315400.0
2001-11-12,-18184200.0
2001-11-13,-15370400.0
2001-11-14,-18940200.0
2001-11-15,-16058300.0
2001-11-16,-35849300.0
2001-11-19,-41445400.0
2001-11-20,-45904200.0
2001-11-21,-49148200.0
2001-11-23,-49148200.0
2001-11-26,-45246200.0
2001-11-27,-49643100.0
2001-11-28,-53594400.0
2001-11-29,-57202300.0
2001-11-30,-51241900.0
2001-12-03,-42837400.0
