date,MACD,MACD_Hist,MACD_Signal
2019-06-27,0.8349,-0.204,1.0389
2019-06-28,0.9959,-0.0344,1.0303
2019-07-01,0.9424,-0.0703,1.0127
2019-07-02,0.8682,-0.1156,0.9838
2019-07-03,0.8185,-0.1322,0.9508
2019-07-05,0.7144,-0.189,0.9035
2019-07-08,0.5785,-0.26,0.8385
2019-07-09,0.5651,-0.2187,0.7838
2019-07-10,0.5083,-0.2204,0.7287
2019-07-11,0.4811,-0.1981,0.6792
2019-07-12,0.4543,-0.1799,0.6342
2019-07-15,0.4712,-0.1304,0.6016
2019-07-16,0.4472,-0.1235,0.5707
2019-07-17,0.3826,-0.1505,0.5331
2019-07-18,0.3348,-0.1586,0.4934
2019-07-19,0.2513,-0.1937,0.445
2019-07-22,0.2236,-0.1771,0.4007
2019-07-23,0.1731,-0.1821,0.3552
2019-07-24,0.1635,-0.1534,0.3169
2019-07-25,0.1253,-0.1532,0.2786
2019-07-26,0.1834,-0.0762,0.2595
2019-07-29,0.1757,-0.0671,0.2428
2019-07-30,0.0648,-0.1424,0.2072
2019-07-31,-0.0588,-0.2127,0.154
2019-08-01,-0.2211,-0.3001,0.079
2019-08-02,-0.4183,-0.3979,-0.0205
2019-08-05,-0.6758,-0.5243,-0.1516
2019-08-06,-0.8619,-0.5682,-0.2936
2019-08-07,-0.9539,-0.5282,-0.4257
2019-08-08,-0.7543,-0.2629,-0.4914
2019-08-09,-0.8223,-0.2647,-0.5576
2019-08-12,-1.1095,-0.4415,-0.668
2019-08-13,-1.3657,-0.5582,-0.8075
2019-08-14,-1.7495,-0.7536,-0.9959
2019-08-15,-2.0893,-0.8747,-1.2146
2019-08-16,-2.1714,-0.7654,-1.406
2019-08-19,-2.2604,-0.6836,-1.5768
2019-08-20,-2.2502,-0.5386,-1.7115
2019-08-21,-2.2468,-0.4282,-1.8186
2019-08-22,-2.2911,-0.3781,-1.9131
2019-08-23,-2.3452,-0.3457,-1.9995
2019-08-26,-2.3705,-0.2968,-2.0737
2019-08-27,-2.3792,-0.2444,-2.1348
2019-08-28,-2.4004,-0.2125,-2.1879
2019-08-29,-2.3761,-0.1505,-2.2256
2019-08-30,-2.3451,-0.0956,-2.2495
2019-09-03,-2.4433,-0.1551,-2.2882
2019-09-04,-2.3895,-0.081,-2.3085
2019-09-05,-2.2786,0.0239,-2.3025
2019-09-06,-2.2176,0.0679,-2.2855
2019-09-09,-2.1142,0.137,-2.2513
2019-09-10,-1.9078,0.2747,-2.1826
2019-09-11,-1.6853,0.3978,-2.0831
2019-09-12,-1.4862,0.4776,-1.9637
2019-09-13,-1.3786,0.4681,-1.8467
2019-09-16,-1.1845,0.5297,-1.7143
2019-09-17,-1.0301,0.5473,-1.5775
2019-09-18,-0.8998,0.5421,-1.4419
2019-09-19,-0.8226,0.4955,-1.3181
2019-09-20,-0.85,0.3745,-1.2244
2019-09-23,-0.8299,0.3157,-1.1455
2019-09-24,-0.9403,0.1642,-1.1045
2019-09-25,-0.9857,0.095,-1.0807
2019-09-26,-1.0189,0.0495,-1.0684
2019-09-27,-1.1354,-0.0536,-1.0818
2019-09-30,-1.1993,-0.0941,-1.1053
2019-10-01,-1.3411,-0.1886,-1.1524
2019-10-02,-1.4488,-0.2371,-1.2117
2019-10-03,-1.4593,-0.1981,-1.2612
2019-10-04,-1.4548,-0.1549,-1.2999
2019-10-07,-1.3789,-0.0632,-1.3157
2019-10-08,-1.3907,-0.06,-1.3307
2019-10-09,-1.4008,-0.0561,-1.3448
2019-10-10,-1.4087,-0.0512,-1.3575
2019-10-11,-1.2984,0.0473,-1.3457
2019-10-14,-1.1182,0.1821,-1.3002
2019-10-15,-0.894,0.325,-1.219
2019-10-16,-0.7186,0.4003,-1.1189
2019-10-17,-0.5131,0.4846,-0.9977
2019-10-18,-0.3909,0.4854,-0.8764
2019-10-21,-0.3426,0.427,-0.7696
2019-10-22,-0.2115,0.4465,-0.658
2019-10-23,-0.0649,0.4745,-0.5394
2019-10-24,0.069,0.4867,-0.4177
2019-10-25,0.1277,0.4363,-0.3086
2019-10-28,0.2129,0.4172,-0.2043
2019-10-29,0.2134,0.3342,-0.1208
2019-10-30,0.3175,0.3506,-0.0331
2019-10-31,0.2159,0.1992,0.0167
2019-11-01,0.1235,0.0855,0.0381
2019-11-04,0.0266,-0.0092,0.0358
2019-11-05,-0.2938,-0.2636,-0.0302
2019-11-06,-0.6276,-0.4779,-0.1496
2019-11-07,-0.8469,-0.5578,-0.2891
2019-11-08,-1.0385,-0.5995,-0.439
2019-11-11,-1.1665,-0.582,-0.5845
2019-11-12,-1.2885,-0.5632,-0.7253
2019-11-13,-1.3687,-0.5147,-0.854
2019-11-14,-1.4733,-0.4955,-0.9778
2019-11-15,-1.4747,-0.3975,-1.0772
2019-11-18,-1.4621,-0.3079,-1.1542
2019-11-19,-1.4117,-0.206,-1.2057
2019-11-20,-1.2779,-0.0578,-1.2201
2019-11-21,-1.0445,0.1405,-1.185
2019-11-22,-0.8417,0.2746,-1.1163
2019-11-25,-0.7092,0.3258,-1.0349
2019-11-26,-0.5637,0.377,-0.9407
2019-11-27,-0.4465,0.3953,-0.8418
2019-11-29,-0.3408,0.4008,-0.7416
2019-12-02,-0.3036,0.3504,-0.654
2019-12-03,-0.2678,0.309,-0.5768
2019-12-04,-0.2335,0.2746,-0.5081
2019-12-05,-0.2367,0.2172,-0.4538
2019-12-06,-0.2995,0.1235,-0.423
2019-12-09,-0.3596,0.0507,-0.4103
2019-12-10,-0.3859,0.0195,-0.4054
2019-12-11,-0.3598,0.0365,-0.3963
2019-12-12,-0.3138,0.066,-0.3798
2019-12-13,-0.29,0.0718,-0.3618
2019-12-16,-0.1437,0.1745,-0.3182
2019-12-17,-0.0513,0.2135,-0.2648
2019-12-18,0.0519,0.2534,-0.2015
2019-12-19,0.1211,0.258,-0.137
2019-12-20,0.2105,0.278,-0.0675
2019-12-23,0.2687,0.2689,-0.0002
2019-12-24,0.3199,0.2561,0.0638
2019-12-26,0.3748,0.2488,0.126
2019-12-27,0.3736,0.1981,0.1755
2019-12-30,0.3342,0.1269,0.2073
2019-12-31,0.2994,0.0737,0.2257
2020-01-02,0.3685,0.1143,0.2542
2020-01-03,0.4487,0.1556,0.2931
2020-01-06,0.5233,0.1841,0.3392
2020-01-07,0.6738,0.2677,0.4061
2020-01-08,0.8734,0.3738,0.4996
2020-01-09,1.023,0.4188,0.6042
2020-01-10,1.1318,0.422,0.7097
2020-01-13,1.2144,0.4038,0.8107
2020-01-14,1.3212,0.4084,0.9128
2020-01-15,1.4034,0.3925,1.0109
2020-01-16,1.4254,0.3316,1.0938
2020-01-17,1.4624,0.2948,1.1675
2020-01-21,1.6717,0.4033,1.2684
2020-01-22,1.772,0.4029,1.3691
2020-01-23,1.859,0.392,1.4671
2020-01-24,1.8582,0.3129,1.5453
2020-01-27,1.7965,0.201,1.5955
2020-01-28,1.7843,0.151,1.6333
2020-01-29,1.7528,0.0956,1.6572
2020-01-30,1.6835,0.021,1.6625
2020-01-31,1.5788,-0.0669,1.6457
2020-02-03,1.5826,-0.0505,1.6331
2020-02-04,1.6424,0.0075,1.635
2020-02-05,1.5334,-0.0812,1.6147
2020-02-06,1.4529,-0.1294,1.5823
2020-02-07,1.6556,0.0586,1.597
2020-02-10,1.7461,0.1193,1.6268
2020-02-11,1.8976,0.2167,1.681
2020-02-12,1.9931,0.2497,1.7434
2020-02-13,1.9527,0.1674,1.7852
2020-02-14,1.8645,0.0634,1.8011
2020-02-18,1.8156,0.0116,1.804
2020-02-19,1.826,0.0176,1.8084
2020-02-20,1.8029,-0.0044,1.8073
2020-02-21,1.7484,-0.0471,1.7955
2020-02-24,1.4935,-0.2416,1.7351
2020-02-25,1.0837,-0.5211,1.6048
2020-02-26,0.6354,-0.7755,1.4109
2020-02-27,0.1174,-1.0348,1.1522
2020-02-28,-0.1765,-1.063,0.8865
2020-03-02,-0.4861,-1.0981,0.612
2020-03-03,-0.708,-1.056,0.348
2020-03-04,-0.7549,-0.8823,0.1274
2020-03-05,-0.9681,-0.8764,-0.0917
2020-03-06,-1.1664,-0.8598,-0.3066
2020-03-09,-1.5885,-1.0255,-0.563
2020-03-10,-1.8373,-1.0194,-0.8179
2020-03-11,-2.229,-1.1289,-1.1001
2020-03-12,-2.8001,-1.36,-1.4401
2020-03-13,-3.2164,-1.4211,-1.7953
2020-03-16,-3.6902,-1.5159,-2.1743
2020-03-17,-4.1294,-1.5641,-2.5653
2020-03-18,-4.7528,-1.75,-3.0028
2020-03-19,-4.7347,-1.3855,-3.3492
2020-03-20,-4.5996,-1.0003,-3.5993
2020-03-23,-4.3559,-0.6053,-3.7506
2020-03-24,-3.7971,-0.0372,-3.7599
2020-03-25,-3.3319,0.3424,-3.6743
2020-03-26,-2.7756,0.719,-3.4946
2020-03-27,-2.375,0.8956,-3.2707
2020-03-30,-1.9903,1.0243,-3.0146
2020-03-31,-1.659,1.0845,-2.7435
2020-04-01,-1.58,0.9308,-2.5108
2020-04-02,-1.6389,0.6975,-2.3364
2020-04-03,-1.7349,0.4812,-2.2161
2020-04-06,-1.5375,0.5429,-2.0804
2020-04-07,-1.3853,0.5561,-1.9414
2020-04-08,-1.1545,0.6295,-1.784
2020-04-09,-0.947,0.6696,-1.6166
2020-04-13,-0.7034,0.7306,-1.434
2020-04-14,-0.5237,0.7282,-1.2519
2020-04-15,-0.404,0.6783,-1.0823
2020-04-16,-0.336,0.5971,-0.9331
2020-04-17,-0.2015,0.5853,-0.7867
2020-04-20,-0.0787,0.5665,-0.6451
2020-04-21,-0.0613,0.4671,-0.5284
2020-04-22,0.0368,0.4521,-0.4153
2020-04-23,0.1204,0.4286,-0.3082
2020-04-24,0.277,0.4682,-0.1912
2020-04-27,0.4437,0.5079,-0.0642
2020-04-28,0.5724,0.5092,0.0631
2020-04-29,0.7664,0.5626,0.2038
2020-04-30,0.8219,0.4945,0.3274
2020-05-01,0.7061,0.3029,0.4031
