date,ROC
2019-06-10,2.5018
2019-06-11,14.4205
2019-06-12,5.5305
2019-06-13,7.3141
2019-06-14,0.5349
2019-06-17,4.4619
2019-06-18,5.458
2019-06-19,8.0964
2019-06-20,6.3273
2019-06-21,8.7225
2019-06-24,3.8063
2019-06-25,5.2259
2019-06-26,6.4096
2019-06-27,13.392
2019-06-28,14.7736
2019-07-01,7.3212
2019-07-02,2.924
2019-07-03,-1.7111
2019-07-05,-3.0944
2019-07-08,-2.74
2019-07-09,3.7315
2019-07-10,2.9446
2019-07-11,4.3159
2019-07-12,-0.7222
2019-07-15,3.0072
2019-07-16,0.7995
2019-07-17,-0.5472
2019-07-18,-2.5635
2019-07-19,-1.5504
2019-07-22,-0.7045
2019-07-23,0.6266
2019-07-24,1.5549
2019-07-25,2.1176
2019-07-26,-1.3517
2019-07-29,-5.3903
2019-07-30,-3.7949
2019-07-31,-4.2273
2019-08-01,-6.6019
2019-08-02,-7.1904
2019-08-05,-9.0803
2019-08-06,-11.4253
2019-08-07,-9.1533
2019-08-08,-2.3187
2019-08-09,-8.9566
2019-08-12,-16.9099
2019-08-13,-17.4031
2019-08-14,-22.1458
2019-08-15,-23.9991
2019-08-16,-18.4113
2019-08-19,-20.7828
2019-08-20,-18.6116
2019-08-21,-20.2239
2019-08-22,-21.659
2019-08-23,-24.9102
2019-08-26,-24.0884
2019-08-27,-22.2587
2019-08-28,-22.6626
2019-08-29,-20.6972
2019-08-30,-19.3812
2019-09-03,-21.3828
2019-09-04,-18.2886
2019-09-05,-18.1108
2019-09-06,-25.8552
2019-09-09,-19.5006
2019-09-10,-9.4324
2019-09-11,-6.7215
2019-09-12,0.3239
2019-09-13,0.0903
2019-09-16,-2.2708
2019-09-17,-0.9246
2019-09-18,-2.9187
2019-09-19,-3.1223
2019-09-20,-4.1176
2019-09-23,-1.2863
2019-09-24,-6.0342
2019-09-25,-4.3189
2019-09-26,-3.1298
2019-09-27,-7.5397
2019-09-30,-6.4477
2019-10-01,-5.0489
2019-10-02,-9.3467
2019-10-03,-8.582
2019-10-04,-6.8738
2019-10-07,-5.8002
2019-10-08,-12.6231
2019-10-09,-14.5
2019-10-10,-15.2627
2019-10-11,-9.3835
2019-10-14,-9.6137
2019-10-15,-6.6783
2019-10-16,-6.9761
2019-10-17,-3.5482
2019-10-18,-1.6564
2019-10-21,-4.8182
2019-10-22,3.9297
2019-10-23,4.3245
2019-10-24,5.4165
2019-10-25,7.9894
2019-10-28,9.0253
2019-10-29,11.2178
2019-10-30,16.3793
2019-10-31,5.9892
2019-11-01,5.7297
2019-11-04,2.3378
2019-11-05,-4.3033
2019-11-06,-7.3271
2019-11-07,-5.1611
2019-11-08,-10.3551
2019-11-11,-12.7892
2019-11-12,-16.5625
2019-11-13,-16.1908
2019-11-14,-20.325
2019-11-15,-16.4379
2019-11-18,-14.836
2019-11-19,-16.846
2019-11-20,-15.1891
2019-11-21,-11.4784
2019-11-22,-9.6301
2019-11-25,-12.3721
2019-11-26,-8.9143
2019-11-27,-12.6222
2019-11-29,-6.0317
2019-12-02,-7.6187
2019-12-03,-6.6281
2019-12-04,3.7116
2019-12-05,6.3474
2019-12-06,1.7531
2019-12-09,2.4806
2019-12-10,2.7634
